orcid,full_name,first_name,last_name,version,name,type,organ,hubmap_id
0000-0002-0935-7300,Teri Longacre,Teri,Longacre,v1.0,small-intestine,asct-b,Small intestine,HBM736.PJQV.368
0000-0002-0935-7300,Teri Longacre,Teri,Longacre,v1.1,small-intestine,asct-b,Small intestine,HBM934.NJHF.526
0000-0002-4096-8601,Vilas Menon,Vilas,Menon,v1.0,spinal-cord,asct-b,Spinal cord,HBM869.WZFK.485
0000-0002-7250-3569,Marda Jorgensen,Marda,Jorgensen,v1.0,spleen,asct-b,Spleen,HBM625.VPLJ.455
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.0,spleen,asct-b,Spleen,HBM625.VPLJ.455
0000-0002-3882-457X,Rebecca T. Beuschel,Rebecca,Beuschel,v1.0,spleen,asct-b,Spleen,HBM625.VPLJ.455
0000-0002-7250-3569,Marda Jorgensen,Marda,Jorgensen,v1.1,spleen,asct-b,Spleen,HBM582.WJWX.929
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.1,spleen,asct-b,Spleen,HBM582.WJWX.929
0000-0002-3882-457X,Rebecca T. Beuschel,Rebecca,Beuschel,v1.1,spleen,asct-b,Spleen,HBM582.WJWX.929
0000-0002-7250-3569,Marda Jorgensen,Marda,Jorgensen,v1.2,spleen,asct-b,Spleen,HBM772.KBNQ.742
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.2,spleen,asct-b,Spleen,HBM772.KBNQ.742
0000-0002-3882-457X,Rebecca T. Beuschel,Rebecca,Beuschel,v1.2,spleen,asct-b,Spleen,HBM772.KBNQ.742
0000-0002-7250-3569,Marda Jorgensen,Marda,Jorgensen,v1.3,spleen,asct-b,Spleen,HBM763.QFRB.477
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.3,spleen,asct-b,Spleen,HBM763.QFRB.477
0000-0002-3882-457X,Rebecca T. Beuschel,Rebecca,Beuschel,v1.3,spleen,asct-b,Spleen,HBM763.QFRB.477
0000-0002-4331-2202,Maigan Brusko,Maigan,Brusko,v1.0,thymus,asct-b,Thymus,HBM934.JMVN.957
0000-0002-3882-457X,Rebecca T. Beuschel,Rebecca,Beuschel,v1.0,thymus,asct-b,Thymus,HBM934.JMVN.957
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.0,thymus,asct-b,Thymus,HBM934.JMVN.957
0000-0002-4331-2202,Maigan Brusko,Maigan,Brusko,v1.1,thymus,asct-b,Thymus,HBM392.LPKF.942
0000-0002-3882-457X,Rebecca T. Beuschel,Rebecca,Beuschel,v1.1,thymus,asct-b,Thymus,HBM392.LPKF.942
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.1,thymus,asct-b,Thymus,HBM392.LPKF.942
0000-0002-4331-2202,Maigan Brusko,Maigan,Brusko,v1.2,thymus,asct-b,Thymus,HBM284.RFDC.542
0000-0002-3882-457X,Rebecca T. Beuschel,Rebecca,Beuschel,v1.2,thymus,asct-b,Thymus,HBM284.RFDC.542
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.2,thymus,asct-b,Thymus,HBM284.RFDC.542
0000-0002-4331-2202,Maigan Brusko,Maigan,Brusko,v1.3,thymus,asct-b,Thymus,HBM375.BJGD.993
0000-0002-3882-457X,Rebecca T. Beuschel,Rebecca,Beuschel,v1.3,thymus,asct-b,Thymus,HBM375.BJGD.993
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.3,thymus,asct-b,Thymus,HBM375.BJGD.993
0000-0002-9185-3994,Gloria Pryhuber,Gloria,Pryhuber,v1.0,trachea,asct-b,Trachea,HBM245.PWLJ.489
0000-0002-0746-927X,Douglas Strand,Douglas,Strand,v1.0,ureter,asct-b,Ureter,HBM882.LRSF.394
0000-0003-2804-127X,Sanjay Jain,Sanjay,Jain,v1.0,ureter,asct-b,Ureter,HBM882.LRSF.394
0000-0002-0746-927X,Douglas Strand,Douglas,Strand,v1.0,urinary-bladder,asct-b,Urinary bladder,HBM546.CKGW.888
0000-0003-2804-127X,Sanjay Jain,Sanjay,Jain,v1.0,urinary-bladder,asct-b,Urinary bladder,HBM546.CKGW.888
0000-0003-1980-6840,Kathleen O'Neill,Kathleen,O'Neill,v1.0,uterus,asct-b,Uterus,HBM265.DQZW.372
0000-0003-1980-6840,Kathleen O'Neill,Kathleen,O'Neill,v1.1,uterus,asct-b,Uterus,HBM866.BCMC.625
0000-0002-2597-881X,Griffin Weber,Griffin,Weber,v1.0,vasculature,asct-b,Vasculature,HBM426.GZPN.888
0000-0002-6692-6880,Sujin Lee,Sujin,Lee,v1.0,vasculature,asct-b,Vasculature,HBM426.GZPN.888
0000-0003-0120-4630,Rajeev Malhotra,Rajeev,Malhotra,v1.0,vasculature,asct-b,Vasculature,HBM426.GZPN.888
0000-0002-7112-7389,Marc Halushka,Marc,Halushka,v1.0,vasculature,asct-b,Vasculature,HBM426.GZPN.888
0000-0003-0834-8274,Avinash Boppana,Avinash,Boppana,v1.0,vasculature,asct-b,Vasculature,HBM426.GZPN.888
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.2,1-human-lymph-node-ibex,omap,Lymph node,HBM674.DJKV.876
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.3,1-human-lymph-node-ibex,omap,Lymph node,HBM458.NSWR.957
0000-0002-1297-9725,Werner Müller,Werner,Müller,v1.0,10-palatine-tonsil-macsima,omap,Palatine tonsil,HBM663.JJMJ.628
0009-0008-1003-987X,Silvia Rüberg,Silvia,Rüberg,v1.0,10-palatine-tonsil-macsima,omap,Palatine tonsil,HBM663.JJMJ.628
0000-0001-9776-2535,Andreas Bosio,Andreas,Bosio,v1.0,10-palatine-tonsil-macsima,omap,Palatine tonsil,HBM663.JJMJ.628
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.0,11-spleen-ibex,omap,Spleen,HBM957.RHVB.545
0000-0003-2088-8310,Colin J. Chu,Colin,Chu,v1.0,12-eye-retina-ibex,omap,Eye,HBM979.RCXH.454
0000-0002-8849-6746,Diane Saunders,Diane,Saunders,v1.0,13-pancreas-codex,omap,Pancreas,HBM754.BHVR.258
0000-0002-1482-5359,Conrad Reihsmann,Conrad,Reihsmann,v1.0,13-pancreas-codex,omap,Pancreas,HBM754.BHVR.258
0000-0001-9961-7673,John Hickey,John,Hickey,v1.1,2-intestine-codex,omap,Intestine,HBM794.CSBJ.358
0000-0001-9961-7673,John Hickey,John,Hickey,v1.2,2-intestine-codex,omap,Intestine,HBM783.TQTD.539
0000-0002-6078-3321,Elizabeth K. Neumann,Elizabeth,Neumann,v1.1,3-kidney-codex,omap,Kidney,HBM568.RMZB.377
0000-0002-1602-2082,Melissa Farrow,Melissa,Farrow,v1.1,3-kidney-codex,omap,Kidney,HBM568.RMZB.377
0000-0002-6078-3321,Elizabeth K. Neumann,Elizabeth,Neumann,v1.2,3-kidney-codex,omap,Kidney,HBM953.VJHK.452
0000-0002-1602-2082,Melissa Farrow,Melissa,Farrow,v1.2,3-kidney-codex,omap,Kidney,HBM953.VJHK.452
0000-0001-7524-8260,Elizabeth McDonough,Elizabeth,McDonough,v1.1,4-skin-cell-dive,omap,Skin,HBM577.SBHH.454
0000-0001-6355-5677,Chrystal Chadwick,Chrystal,Chadwick,v1.1,4-skin-cell-dive,omap,Skin,HBM577.SBHH.454
0000-0001-6638-683X,Fiona Ginty,Fiona,Ginty,v1.1,4-skin-cell-dive,omap,Skin,HBM577.SBHH.454
0000-0001-7524-8260,Elizabeth McDonough,Elizabeth,McDonough,v1.2,4-skin-cell-dive,omap,Skin,HBM459.SRBX.598
0000-0001-6355-5677,Chrystal Chadwick,Chrystal,Chadwick,v1.2,4-skin-cell-dive,omap,Skin,HBM459.SRBX.598
0000-0001-6638-683X,Fiona Ginty,Fiona,Ginty,v1.2,4-skin-cell-dive,omap,Skin,HBM459.SRBX.598
0000-0002-3598-0219,Hua Tian,Hua,Tian,v1.1,5-liver-sims,omap,Liver,HBM495.QBSV.777
0000-0003-2184-7238,Presha Rajbhandari,Presha,Rajbhandari,v1.1,5-liver-sims,omap,Liver,HBM495.QBSV.777
0000-0002-3598-0219,Hua Tian,Hua,Tian,v1.2,5-liver-sims,omap,Liver,HBM749.LTHX.952
0000-0003-2184-7238,Presha Rajbhandari,Presha,Rajbhandari,v1.2,5-liver-sims,omap,Liver,HBM749.LTHX.952
0000-0003-2722-1965,Anna Martinez Casals,Anna,Casals,v1.1,6-pancreas-codex,omap,Pancreas,HBM868.XLTM.922
0000-0002-3343-349X,Frida Björklund,Frida,Björklund,v1.1,6-pancreas-codex,omap,Pancreas,HBM868.XLTM.922
0000-0003-2722-1965,Anna Martinez Casals,Anna,Casals,v1.2,6-pancreas-codex,omap,Pancreas,HBM948.XLMZ.833
0000-0002-3343-349X,Frida Björklund,Frida,Björklund,v1.2,6-pancreas-codex,omap,Pancreas,HBM948.XLMZ.833
0000-0002-7334-4571,Christine Surrette,Christine,Surrette,v1.1,7-lung-cell-dive,omap,Lung,HBM972.WHPW.455
0000-0002-9143-6509,Lisa Lowery,Lisa,Lowery,v1.1,7-lung-cell-dive,omap,Lung,HBM972.WHPW.455
0000-0002-9185-3994,Gloria Pryhuber,Gloria,Pryhuber,v1.1,7-lung-cell-dive,omap,Lung,HBM972.WHPW.455
0000-0002-0571-0285,Gail Deutsch,Gail,Deutsch,v1.1,7-lung-cell-dive,omap,Lung,HBM972.WHPW.455
0000-0001-6638-683X,Fiona Ginty,Fiona,Ginty,v1.1,7-lung-cell-dive,omap,Lung,HBM972.WHPW.455
0000-0002-7334-4571,Christine Surrette,Christine,Surrette,v1.2,7-lung-cell-dive,omap,Lung,HBM933.MRZD.495
0000-0002-9143-6509,Lisa Lowery,Lisa,Lowery,v1.2,7-lung-cell-dive,omap,Lung,HBM933.MRZD.495
0000-0002-9185-3994,Gloria Pryhuber,Gloria,Pryhuber,v1.2,7-lung-cell-dive,omap,Lung,HBM933.MRZD.495
0000-0002-0571-0285,Gail Deutsch,Gail,Deutsch,v1.2,7-lung-cell-dive,omap,Lung,HBM933.MRZD.495
0000-0001-6638-683X,Fiona Ginty,Fiona,Ginty,v1.2,7-lung-cell-dive,omap,Lung,HBM933.MRZD.495
0000-0002-0191-3958,Paul Robson,Paul,Robson,v1.0,8-placenta-full-term-imc,omap,Placenta full term,HBM375.WFJN.332
0000-0002-8854-4517,Santhosh Sivajothi,Santhosh,Sivajothi,v1.0,8-placenta-full-term-imc,omap,Placenta full term,HBM375.WFJN.332
0000-0003-4067-0511,Ramalakshmi Ramasamy,Ramalakshmi,Ramasamy,v1.0,8-placenta-full-term-imc,omap,Placenta full term,HBM375.WFJN.332
0000-0002-0776-3030,Daria Barwinska,Daria,Barwinska,v1.0,9-kidney-codex,omap,Kidney,HBM874.KNMC.899
0000-0003-4645-3614,Tarek M. Ashkar,Tarek,Ashkar,v1.0,9-kidney-codex,omap,Kidney,HBM874.KNMC.899
0000-0002-7496-8570,Angela R. Sabo,Angela,Sabo,v1.0,9-kidney-codex,omap,Kidney,HBM874.KNMC.899
0000-0002-9531-3899,Michael J. Ferkowicz,Michael,Ferkowicz,v1.0,9-kidney-codex,omap,Kidney,HBM874.KNMC.899
0000-0002-2396-5871,Seth Winfree,Seth,Winfree,v1.0,9-kidney-codex,omap,Kidney,HBM874.KNMC.899
0000-0001-9961-7673,John Hickey,John,Hickey,v1.0,intestines-codex,omap,Intestine,HBM373.HQCB.363
0000-0002-6078-3321,Elizabeth K. Neumann,Elizabeth,Neumann,v1.0,kidney-codex,omap,Kidney,HBM373.TBKP.375
0000-0002-3598-0219,Hua Tian,Hua,Tian,v1.0,liver-sim,omap,Liver,HBM279.BTBC.847
0000-0003-2184-7238,Presha Rajbhandari,Presha,Rajbhandari,v1.0,liver-sim,omap,Liver,HBM279.BTBC.847
0000-0003-2222-4630,Taruna V Neelakantan,Taruna,Neelakantan,v1.0,liver-sim,omap,Liver,HBM279.BTBC.847
0000-0002-0646-1815,Aubrianna M Decker,Aubrianna,Decker,v1.0,liver-sim,omap,Liver,HBM279.BTBC.847
0000-0002-3532-3868,Brent R Stockwell,Brent,Stockwell,v1.0,liver-sim,omap,Liver,HBM279.BTBC.847
0000-0002-7334-4571,Christine Surrette,Christine,Surrette,v1.0,lung-celldive,omap,Lung,HBM366.RQZK.248
0000-0002-9143-6509,Lisa Lowery,Lisa,Lowery,v1.0,lung-celldive,omap,Lung,HBM366.RQZK.248
0000-0002-9185-3994,Gloria Pryhuber,Gloria,Pryhuber,v1.0,lung-celldive,omap,Lung,HBM366.RQZK.248
0000-0002-0571-0285,Gail Deutsch,Gail,Deutsch,v1.0,lung-celldive,omap,Lung,HBM366.RQZK.248
0000-0001-6638-683X,Fiona Ginty,Fiona,Ginty,v1.0,lung-celldive,omap,Lung,HBM366.RQZK.248
0000-0003-4379-8967,Andrea J. Radtke,Andrea,Radtke,v1.1,lymph-node-ibex,omap,Lymph node,HBM624.PJSR.685
0000-0003-2722-1965,Anna Martinez Casals,Anna,Casals,v1.0,pancreas-codex,omap,Pancreas,HBM395.LXKX.734
0000-0002-3343-349X,Frida Björklund,Frida,Björklund,v1.0,pancreas-codex,omap,Pancreas,HBM395.LXKX.734
0000-0001-7524-8260,Liz McDonough,Liz,McDonough,v1.0,skin-celldive,omap,Skin,HBM467.LRKZ.884
0000-0001-7655-4833,Ellen M. Quardokus,Ellen,Quardokus,v1.4,asct-b-3d-models-crosswalk,ref-organ,,HBM622.BDXN.589
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.4,asct-b-3d-models-crosswalk,ref-organ,,HBM622.BDXN.589
0000-0002-6703-7647,Bruce W. Herr II,Bruce,Herr,v1.4,asct-b-3d-models-crosswalk,ref-organ,,HBM622.BDXN.589
0000-0002-3321-6137,Katy Börner,Katy,Börner,v1.4,asct-b-3d-models-crosswalk,ref-organ,,HBM622.BDXN.589
0000-0001-7655-4833,Ellen M. Quardokus,Ellen,Quardokus,v1.3,asct-b-3d-models-mapping,ref-organ,,HBM766.SDNC.676
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.3,asct-b-3d-models-mapping,ref-organ,,HBM766.SDNC.676
0000-0002-6703-7647,Bruce W. Herr II,Bruce,Herr,v1.3,asct-b-3d-models-mapping,ref-organ,,HBM766.SDNC.676
0000-0002-3321-6137,Katy Börner,Katy,Börner,v1.3,asct-b-3d-models-mapping,ref-organ,,HBM766.SDNC.676
0000-0001-7655-4833,Ellen M. Quardokus,Ellen,Quardokus,Mapping,asctb-3d-models-mapping,ref-organ,,HBM527.RCXM.366
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,Mapping,asctb-3d-models-mapping,ref-organ,,HBM527.RCXM.366
0000-0002-8977-498X,Andreas Bueckle,Andreas,Bueckle,Mapping,asctb-3d-models-mapping,ref-organ,,HBM527.RCXM.366
0000-0002-6703-7647,Bruce W. Herr II,Bruce,Herr,Mapping,asctb-3d-models-mapping,ref-organ,,HBM527.RCXM.366
0000-0002-3321-6137,Katy Börner,Katy,Börner,Mapping,asctb-3d-models-mapping,ref-organ,,HBM527.RCXM.366
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,blood-vasculature-female,ref-organ,Blood vasculature,HBM542.RNFN.859
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,blood-vasculature-female,ref-organ,Blood vasculature,HBM232.FSRK.728
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,blood-vasculature-female,ref-organ,Blood vasculature,HBM232.FSRK.728
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,blood-vasculature-male,ref-organ,Blood vasculature,HBM624.HZFZ.385
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,blood-vasculature-male,ref-organ,Blood vasculature,HBM686.LBDQ.998
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,blood-vasculature-male,ref-organ,Blood vasculature,HBM686.LBDQ.998
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,brain-female,ref-organ,Brain,HBM438.XKJT.666
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,brain-female,ref-organ,Brain,HBM724.XTTN.487
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,brain-female,ref-organ,Brain,HBM883.TBLV.838
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,brain-female,ref-organ,Brain,HBM883.TBLV.838
00dcv1019,Allen Institute,Allen,Institute,v1.0,brain-male,ref-organ,Brain,HBM927.XKJR.426
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,brain-male,ref-organ,Brain,HBM246.TXGH.789
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,brain-male,ref-organ,Brain,HBM946.SSFX.636
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,brain-male,ref-organ,Brain,HBM946.SSFX.636
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,eye-female-left,ref-organ,Eye,HBM359.KHRG.755
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,eye-female-left,ref-organ,Eye,HBM947.QXCK.633
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.1,eye-female-left,ref-organ,Eye,HBM947.QXCK.633
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,eye-female-right,ref-organ,Eye,HBM692.CDGH.743
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,eye-female-right,ref-organ,Eye,HBM276.NWLC.455
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.1,eye-female-right,ref-organ,Eye,HBM276.NWLC.455
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,eye-male-left,ref-organ,Eye,HBM229.DQTQ.987
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,eye-male-left,ref-organ,Eye,HBM589.ZDVC.244
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.1,eye-male-left,ref-organ,Eye,HBM589.ZDVC.244
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,eye-male-right,ref-organ,Eye,HBM343.ZZKS.993
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,eye-male-right,ref-organ,Eye,HBM628.JFJJ.755
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.1,eye-male-right,ref-organ,Eye,HBM628.JFJJ.755
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,fallopian-tube-female-left,ref-organ,Fallopian tube,HBM346.XLQF.893
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,fallopian-tube-female-left,ref-organ,Fallopian tube,HBM887.HZKB.637
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.1,fallopian-tube-female-left,ref-organ,Fallopian tube,HBM887.HZKB.637
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,fallopian-tube-female-right,ref-organ,Fallopian tube,HBM986.HDFV.993
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,fallopian-tube-female-right,ref-organ,Fallopian tube,HBM875.FCDP.878
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.1,fallopian-tube-female-right,ref-organ,Fallopian tube,HBM875.FCDP.878
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,female-united,ref-organ,,HBM658.KHFL.229
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,female-united,ref-organ,,HBM658.KHFL.229
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,heart-female,ref-organ,Heart,HBM894.FGQN.237
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,heart-female,ref-organ,Heart,HBM459.GVPS.249
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,heart-female,ref-organ,Heart,HBM384.VWVH.465
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,heart-female,ref-organ,Heart,HBM384.VWVH.465
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,heart-male,ref-organ,Heart,HBM384.FDPD.646
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,heart-male,ref-organ,Heart,HBM548.CTHS.699
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,heart-male,ref-organ,Heart,HBM373.VSTV.568
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,intestine-large-female,ref-organ,Intestine,HBM734.KXRL.243
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,intestine-large-male,ref-organ,Intestine,HBM235.QFTP.824
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,kidney-female-left,ref-organ,Kidney,HBM765.JWFB.892
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,kidney-female-left,ref-organ,Kidney,HBM893.CHGD.258
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,kidney-female-left,ref-organ,Kidney,HBM898.QGVV.734
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,kidney-female-left,ref-organ,Kidney,HBM898.QGVV.734
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,kidney-female-right,ref-organ,Kidney,HBM726.HWKT.534
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,kidney-female-right,ref-organ,Kidney,HBM569.LBLR.528
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,kidney-female-right,ref-organ,Kidney,HBM487.ZGCW.688
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,kidney-female-right,ref-organ,Kidney,HBM487.ZGCW.688
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,kidney-male-left,ref-organ,Kidney,HBM792.NPXX.335
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,kidney-male-left,ref-organ,Kidney,HBM987.QXZX.867
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,kidney-male-left,ref-organ,Kidney,HBM562.JGPS.244
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,kidney-male-left,ref-organ,Kidney,HBM562.JGPS.244
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,kidney-male-right,ref-organ,Kidney,HBM693.RTRN.866
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,kidney-male-right,ref-organ,Kidney,HBM724.XBQG.384
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,kidney-male-right,ref-organ,Kidney,HBM272.ZVPQ.979
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,kidney-male-right,ref-organ,Kidney,HBM272.ZVPQ.979
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,knee-female-left,ref-organ,Knee,HBM886.ZDPK.865
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,knee-female-left,ref-organ,Knee,HBM445.ZKHR.632
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.1,knee-female-left,ref-organ,Knee,HBM445.ZKHR.632
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,knee-female-right,ref-organ,Knee,HBM793.BQGC.274
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,knee-male-left,ref-organ,Knee,HBM825.XRZT.933
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,knee-male-left,ref-organ,Knee,HBM592.GGXG.842
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.1,knee-male-left,ref-organ,Knee,HBM592.GGXG.842
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,knee-male-right,ref-organ,Knee,HBM546.WMLL.993
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,knee-male-right,ref-organ,Knee,HBM262.NWXL.436
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.1,knee-male-right,ref-organ,Knee,HBM262.NWXL.436
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,large-intestine-female,ref-organ,Large intestine,HBM879.CXSX.975
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,large-intestine-female,ref-organ,Large intestine,HBM637.SRWT.828
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,large-intestine-female,ref-organ,Large intestine,HBM637.SRWT.828
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,large-intestine-male,ref-organ,Large intestine,HBM626.PBQL.796
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,large-intestine-male,ref-organ,Large intestine,HBM334.LVTH.937
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,large-intestine-male,ref-organ,Large intestine,HBM334.LVTH.937
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,liver-female,ref-organ,Liver,HBM474.XSKK.979
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,liver-female,ref-organ,Liver,HBM798.JZZM.649
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.1,liver-female,ref-organ,Liver,HBM798.JZZM.649
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,liver-male,ref-organ,Liver,HBM793.BQGC.274
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,liver-male,ref-organ,Liver,HBM677.HVRF.764
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.1,liver-male,ref-organ,Liver,HBM677.HVRF.764
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,lung-female,ref-organ,Lung,HBM467.NHKR.974
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,lung-female,ref-organ,Lung,HBM448.SPWK.587
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,lung-female,ref-organ,Lung,HBM733.JCZJ.647
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,lung-female,ref-organ,Lung,HBM733.JCZJ.647
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.0,lung-male,ref-organ,Lung,HBM373.VPSC.692
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,lung-male,ref-organ,Lung,HBM432.TNRZ.258
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,lung-male,ref-organ,Lung,HBM787.FWXN.723
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,lung-male,ref-organ,Lung,HBM787.FWXN.723
0000-0003-2390-083X,Li Yao,Li,Yao,v1.0,lymph-node-female-left,ref-organ,Lymph node,HBM897.HVMV.989
0000-0003-2390-083X,Li Yao,Li,Yao,v1.0,lymph-node-female-right,ref-organ,Lymph node,HBM439.ZTGH.778
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.1,lymph-node-female,ref-organ,Lymph node,HBM992.ZQPV.642
0000-0003-4066-7531,Kristen Browne,Kristen,Browne,v1.2,lymph-node-female,ref-organ,Lymph node,HBM463.LFHF.874
0000-0002-3333-5646,Heidi Schlehlein,Heidi,Schlehlein,v1.2,lymph-node-female,ref-organ,Lymph node,HBM463.LFHF.874
0000-0003-2390-083X,Li Yao,Li,Yao,v1.0,lymph-node-male-left,ref-organ,Lymph node,HBM668.RBLW.256
0000-0003-2390-083X,Li Yao,Li,Yao,v1.0,lymph-node-male-right,ref-organ,Lymph node,HBM699.BLKS.298
