organ,id,rdfs_label,name,b_type
brain,HGNC:20693,neurexophilin 1,NXPH1,gene
brain,HGNC:3372,eomesodermin,EOMES,gene
brain,,,RP11-312A15.5,gene
brain,,,RP11-340A13.4,gene
brain,,,RP11-649A16.1,gene
brain,HGNC:3490,ETS variant transcription factor 1,ETV1,gene
brain,,,RP5-1101C3.1,gene
brain,HGNC:54290,long intergenic non-protein coding RNA 2770,LINC02770,gene
brain,,,RP11-410K21.2,gene
brain,HGNC:30209,Purkinje cell protein 2,PCP2,gene
brain,HGNC:18345,terminal nucleotidyltransferase 5A,TENT5A,gene
brain,HGNC:20318,SPARC related modular calcium binding 1,SMOC1,gene
brain,HGNC:24176,butyrophilin like 9,BTNL9,gene
brain,,,RP11-46H14.1,gene
brain,,,RP11-321P16.3,gene
brain,HGNC:31110,cortexin 3,CTXN3,gene
brain,HGNC:27061,long intergenic non-protein coding RNA 355,LINC00355,gene
brain,HGNC:25087,family with sequence similarity 114 member A1,FAM114A1,gene
brain,HGNC:14599,tubulointerstitial nephritis antigen,TINAG,gene
brain,HGNC:29348,thrombospondin type 1 domain containing 7B,THSD7B,gene
brain,HGNC:20822,adhesion G protein-coupled receptor L4,ADGRL4,gene
brain,HGNC:25735,ventricular zone expressed PH domain containing 1,VEPH1,gene
brain,HGNC:52588,long intergenic non-protein coding RNA 1798,LINC01798,gene
brain,HGNC:52812,long intergenic non-protein coding RNA 1982,LINC01982,gene
brain,HGNC:14025,solute carrier family 5 member 7,SLC5A7,gene
brain,,,RP11-284G10.1,gene
brain,,,RP3-401D24.1,gene
brain,HGNC:42742,long intergenic non-protein coding RNA 410,LINC00410,gene
brain,HGNC:39988,RBMS3 antisense RNA 2,RBMS3-AS2,gene
brain,,,RP11-460M2.1,gene
brain,HGNC:10882,SIM bHLH transcription factor 1,SIM1,gene
brain,HGNC:9005,paired like homeodomain 2,PITX2,gene
brain,HGNC:2356,corticotropin releasing hormone binding protein,CRHBP,gene
brain,HGNC:28554,cilia and flagella associated protein 299,CFAP299,gene
brain,HGNC:13604,F-box and leucine rich repeat protein 7,FBXL7,gene
brain,,,RP11-115D10.1,gene
brain,HGNC:28572,FERM and PDZ domain containing 2,FRMPD2,gene
brain,HGNC:7596,myosin IB,MYO1B,gene
brain,HGNC:6714,latent transforming growth factor beta binding protein 1,LTBP1,gene
brain,HGNC:19664,G protein subunit gamma 8,GNG8,gene
brain,HGNC:9218,POU class 4 homeobox 1,POU4F1,gene
brain,HGNC:35145,heat shock protein family D (Hsp60) member 1 pseudogene 8,HSPD1P8,gene
brain,,,AC003099.2,gene
brain,HGNC:21357,family with sequence similarity 83 member B,FAM83B,gene
brain,HGNC:8138,one cut homeobox 1,ONECUT1,gene
brain,HGNC:26744,chromosome 5 putative open reading frame 64,C5orf64,gene
brain,HGNC:5137,homeobox D3,HOXD3,gene
brain,HGNC:14222,LIM homeobox 9,LHX9,gene
brain,HGNC:49024,long intergenic non-protein coding RNA 1036,LINC01036,gene
brain,HGNC:19087,EBF transcription factor 3,EBF3,gene
brain,HGNC:5114,homeobox B3,HOXB3,gene
brain,HGNC:6654,LIM homeobox transcription factor 1 beta,LMX1B,gene
brain,,,RP11-221G19.1,gene
brain,HGNC:8616,paired box 2,PAX2,gene
brain,HGNC:10527,spalt like transcription factor 3,SALL3,gene
brain,HGNC:20660,tetraspanin 18,TSPAN18,gene
brain,,,AC079135.1,gene
brain,HGNC:5295,5-hydroxytryptamine receptor 2C,HTR2C,gene
brain,HGNC:16189,long intergenic non-protein coding RNA 261,LINC00261,gene
brain,HGNC:49642,long intergenic non-protein coding RNA 1210,LINC01210,gene
brain,HGNC:6593,LIM homeobox 1,LHX1,gene
brain,HGNC:4172,GATA binding protein 3,GATA3,gene
brain,HGNC:5154,15-hydroxyprostaglandin dehydrogenase,HPGD,gene
brain,HGNC:11641,transcription factor 7 like 2,TCF7L2,gene
brain,HGNC:51231,KIZ antisense RNA 1,KIZ-AS1,gene
brain,HGNC:50698,ZFPM2 antisense RNA 1,ZFPM2-AS1,gene
brain,HGNC:30748,thyrotropin releasing hormone degrading enzyme,TRHDE,gene
brain,HGNC:50687,SATB1 antisense RNA 1,SATB1-AS1,gene
brain,HGNC:3341,empty spiracles homeobox 2,EMX2,gene
brain,HGNC:6551,lymphoid enhancer binding factor 1,LEF1,gene
brain,HGNC:4579,glutamate ionotropic receptor kainate type subunit 1,GRIK1,gene
brain,HGNC:777,zinc finger homeobox 3,ZFHX3,gene
brain,HGNC:21587,TAFA chemokine like family member 1,TAFA1,gene
brain,HGNC:8522,orthodenticle homeobox 2,OTX2,gene
brain,HGNC:20779,N-deacetylase and N-sulfotransferase 4,NDST4,gene
brain,HGNC:10889,SIX homeobox 3,SIX3,gene
brain,HGNC:21386,follistatin like 5,FSTL5,gene
brain,HGNC:23206,leucine zipper protein 2,LUZP2,gene
brain,HGNC:23317,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6",ST8SIA6,gene
brain,HGNC:44222,NR2F2 antisense RNA 1,NR2F2-AS1,gene
brain,HGNC:15581,transcription factor AP-2 delta,TFAP2D,gene
brain,HGNC:7001,Meis homeobox 2,MEIS2,gene
brain,HGNC:4392,GNAS complex locus,GNAS,gene
brain,HGNC:1442,calmodulin 1,CALM1,gene
brain,HGNC:2171,contactin 1,CNTN1,gene
brain,HGNC:6352,kelch like family member 1,KLHL1,gene
brain,HGNC:2663,dachshund family transcription factor 1,DACH1,gene
brain,HGNC:37462,small nucleolar RNA host gene 14,SNHG14,gene
brain,HGNC:4504,leucine rich repeat containing G protein-coupled receptor 5,LGR5,gene
brain,HGNC:17245,carboxypeptidase A6,CPA6,gene
brain,HGNC:18404,family with sequence similarity 9 member B,FAM9B,gene
brain,HGNC:25552,ring finger protein 220,RNF220,gene
brain,HGNC:10854,short stature homeobox 2,SHOX2,gene
brain,HGNC:6594,LIM homeobox 2,LHX2,gene
brain,HGNC:6653,LIM homeobox transcription factor 1 alpha,LMX1A,gene
brain,HGNC:37078,colorectal neoplasia differentially expressed,CRNDE,gene
brain,,,RP11-491F9.1,gene
brain,HGNC:687,DIRAS family GTPase 3,DIRAS3,gene
brain,HGNC:12873,Zic family member 2,ZIC2,gene
brain,HGNC:8518,orthopedia homeobox,OTP,gene
brain,HGNC:13733,cadherin related 23,CDH23,gene
brain,HGNC:644,androgen receptor,AR,gene
brain,HGNC:7981,nuclear receptor subfamily 4 group A member 2,NR4A2,gene
brain,HGNC:8619,paired box 5,PAX5,gene
brain,HGNC:6481,laminin subunit alpha 1,LAMA1,gene
brain,HGNC:13285,"fidgetin, microtubule severing factor",FIGN,gene
brain,HGNC:12872,Zic family member 1,ZIC1,gene
brain,HGNC:8010,neurexin 3,NRXN3,gene
brain,HGNC:1751,cadherin 12,CDH12,gene
brain,HGNC:3666,fibroblast growth factor 10,FGF10,gene
brain,HGNC:21735,LIM homeobox 6,LHX6,gene
brain,HGNC:11049,solute carrier family 6 member 3,SLC6A3,gene
brain,HGNC:10726,semaphorin 3D,SEMA3D,gene
brain,HGNC:11050,solute carrier family 6 member 4,SLC6A4,gene
brain,HGNC:20692,tryptophan hydroxylase 2,TPH2,gene
brain,HGNC:9143,paired like homeobox 2B,PHOX2B,gene
brain,HGNC:28838,LIM homeobox 8,LHX8,gene
brain,HGNC:11191,SRY-box transcription factor 11,SOX11,gene
brain,HGNC:8079,FERM domain containing 7,FRMD7,gene
brain,HGNC:8651,poly(rC) binding protein 3,PCBP3,gene
brain,HGNC:1753,cadherin 13,CDH13,gene
brain,HGNC:17318,relaxin family peptide receptor 2,RXFP2,gene
brain,HGNC:24323,CART prepropeptide,CARTPT,gene
brain,HGNC:6690,"inositol 1,4,5-triphosphate receptor associated 2",IRAG2,gene
brain,HGNC:14615,pappalysin 2,PAPPA2,gene
brain,HGNC:4324,glucagon like peptide 1 receptor,GLP1R,gene
brain,HGNC:894,arginine vasopressin,AVP,gene
brain,HGNC:16973,protein phosphatase 1 regulatory subunit 17,PPP1R17,gene
brain,HGNC:8778,phosphodiesterase 3A,PDE3A,gene
brain,,,RP11-964E11.3,gene
brain,HGNC:14005,paternally expressed 10,PEG10,gene
brain,HGNC:5019,H6 family homeobox 3,HMX3,gene
brain,HGNC:2907,delta like non-canonical Notch ligand 1,DLK1,gene
brain,HGNC:22788,FEZ family zinc finger 1,FEZF1,gene
brain,HGNC:10593,sodium voltage-gated channel alpha subunit 5,SCN5A,gene
brain,,,CTC-552D5.1,gene
brain,HGNC:3467,estrogen receptor 1,ESR1,gene
brain,HGNC:26086,transmembrane protein 255A,TMEM255A,gene
brain,HGNC:227,adenosine deaminase RNA specific B2 (inactive),ADARB2,gene
brain,HGNC:9459,prospero homeobox 1,PROX1,gene
brain,HGNC:2594,cytochrome P450 family 19 subfamily A member 1,CYP19A1,gene
brain,HGNC:7976,nuclear receptor subfamily 2 group F member 2,NR2F2,gene
brain,HGNC:31700,zinc finger and BTB domain containing 7C,ZBTB7C,gene
brain,HGNC:4086,gamma-aminobutyric acid type A receptor subunit gamma1,GABRG1,gene
brain,HGNC:14000,PR/SET domain 16,PRDM16,gene
brain,HGNC:8910,progesterone receptor,PGR,gene
brain,HGNC:11602,T-box transcription factor 3,TBX3,gene
brain,HGNC:4855,histidine decarboxylase,HDC,gene
brain,HGNC:9477,serine protease 12,PRSS12,gene
brain,HGNC:7941,natriuretic peptide C,NPPC,gene
brain,,,CH17-174L20.1,gene
brain,,,AC010091.1,gene
brain,HGNC:15576,myosin IIIB,MYO3B,gene
brain,HGNC:30506,"pleckstrin homology, MyTH4 and FERM domain containing H2",PLEKHH2,gene
brain,HGNC:21641,tetraspanin 12,TSPAN12,gene
brain,HGNC:25723,vasohibin 2,VASH2,gene
brain,HGNC:11510,synaptotagmin 2,SYT2,gene
brain,HGNC:17797,mitogen-activated protein kinase kinase kinase 20,MAP3K20,gene
brain,HGNC:18864,potassium voltage-gated channel subfamily H member 8,KCNH8,gene
brain,HGNC:52483,long intergenic non-protein coding RNA 1695,LINC01695,gene
brain,HGNC:11773,transforming growth factor beta receptor 2,TGFBR2,gene
brain,HGNC:7679,N-myc downstream regulated 1,NDRG1,gene
brain,HGNC:1513,calsequestrin 2,CASQ2,gene
brain,HGNC:14605,ADAM metallopeptidase with thrombospondin type 1 motif 12,ADAMTS12,gene
brain,HGNC:16961,CD226 molecule,CD226,gene
brain,HGNC:6173,integral membrane protein 2A,ITM2A,gene
brain,HGNC:9997,regulator of G protein signaling 16,RGS16,gene
brain,HGNC:9163,prepronociceptin,PNOC,gene
brain,,,AP000331.1,gene
brain,HGNC:49471,long intergenic non-protein coding RNA 1151,LINC01151,gene
brain,HGNC:28274,family with sequence similarity 163 member A,FAM163A,gene
brain,HGNC:50526,long intergenic non-protein coding RNA 1320,LINC01320,gene
brain,HGNC:23503,SLIT and NTRK like family member 6,SLITRK6,gene
brain,HGNC:13826,DMRT like family A1,DMRTA1,gene
brain,HGNC:49796,long intergenic non-protein coding RNA 1239,LINC01239,gene
brain,HGNC:19419,heparan sulfate-glucosamine 3-sulfotransferase 5,HS3ST5,gene
brain,HGNC:23399,FRAS1 related extracellular matrix 1,FREM1,gene
brain,GNC:7569,myosin heavy chain 11,MYH11,gene
brain,HGNC:6342,"KIT proto-oncogene, receptor tyrosine kinase",KIT,gene
brain,HGNC:28306,PRELI domain containing 2,PRELID2,gene
brain,HGNC:3387,EPH receptor A3,EPHA3,gene
brain,,,RO,gene
brain,HGNC:5200,heparan sulfate-glucosamine 3-sulfotransferase 4,HS3ST4,gene
brain,LOC105379168,Uncharacterized LOC105379168,LOC105379168,gene
brain,HGNC:15846,palmdelphin,PALMD,gene
brain,HGNC:2159,cannabinoid receptor 1,CNR1,gene
brain,HGNC:51307,long intergenic non-protein coding RNA 1539,LINC01539,gene
brain,HGNC:8634,PBX homeobox 3,PBX3,gene
brain,HGNC:24213,cartilage intermediate layer protein 2,CILP2,gene
brain,HGNC:5476,insulin like growth factor binding protein 7,IGFBP7,gene
brain,LOC105373642,,LOC105373642,gene
brain,LOC105379064,Uncharacterized LOC105379064,LOC105379064,gene
brain,HGNC:19265,synaptotagmin 9,SYT9,gene
brain,HGNC:29847,NCK associated protein 5,NCKAP5,gene
brain,HGNC:26545,Rho GTPase activating protein 42,ARHGAP42,gene
brain,HGNC:3819,forkhead box O1,FOXO1,gene
brain,HGNC:5293,5-hydroxytryptamine receptor 2C,HTR2C,gene
brain,LOC284825,,LOC284825,gene
brain,HGNC:10608,secretin receptor,SCTR,gene
brain,HGNC:1593,cyclin G2,CCNG2,gene
brain,HGNC:5474,insulin like growth factor binding protein 5,IGFBP5,gene
brain,HGNC:14446,par-3 family cell polarity regulator beta,PARD3B,gene
brain,LOC100506497,,LOC100506497,gene
brain,LOC101927286,,LOC101927286,gene
brain,LOC101928842,,LOC101928842,gene
brain,HGNC:18866,potassium sodium-activated channel subfamily T member 2,KCNT2,gene
brain,LOC105370456,,LOC105370456,gene
brain,HGNC:6164,integrin subunit beta like 1,ITGBL1,gene
brain,HGNC:23502,SLIT and NTRK like family member 4,SLITRK4,gene
brain,HGNC:3443,epiregulin,EREG,gene
brain,HGNC:7891,NADPH oxidase 4,NOX4,gene
brain,HGNC:484,angiopoietin 1,ANGPT1,gene
brain,HGNC:10967,solute carrier family 22 member 3,SLC22A3,gene
brain,HGNC:14678,potassium channel tetramerization domain containing 12,KCTD12,gene
brain,HGNC:26766,ankyrin repeat and fibronectin type III domain containing 1,ANKFN1,gene
brain,HGNC:25149,"EGF like and EMI domain containing 1, pseudogene",EGFEM1P,gene
brain,LOC101927078,,LOC101927078,gene
brain,HGNC:3229,epidermal growth factor,EGF,gene
brain,HGNC:16814,dachshund family transcription factor 2,DACH2,gene
brain,HGNC:17382,SLIT-ROBO Rho GTPase activating protein 1,SRGAP1,gene
brain,HGNC:19873,polypeptide N-acetylgalactosaminyltransferase 10,GALNT10,gene
brain,HGNC:50703,long intergenic non-protein coding RNA 1411,LINC01411,gene
brain,LOC105373454,,LOC105373454,gene
brain,HGNC:2196,collagen type XIX alpha 1 chain,COL19A1,gene
brain,HGNC:20209,SOX2 overlapping transcript,SOX2-OT,gene
brain,HGNC:15565,pyroglutamylated RFamide peptide receptor,QRFPR,gene
brain,HGNC:17992,transient receptor potential cation channel subfamily M member 3,TRPM3,gene
brain,HGNC:10001,regulator of G protein signaling 5,RGS5,gene
brain,HGNC:11252,spondin 1,SPON1,gene
brain,HGNC:221,ADAM metallopeptidase with thrombospondin type 1 motif 5,ADAMTS5,gene
brain,HGNC:13278,erythrocyte membrane protein band 4.1 like 4A,EPB41L4A,gene
brain,HGNC:29266,kelch like family member 14,KLHL14,gene
brain,LOC100996671,,LOC100996671,gene
brain,HGNC:30619,"SPHK1 interactor, AKAP domain containing",SPHKAP,gene
brain,HGNC:25436,transmembrane protein 132C,TMEM132C,gene
brain,HGNC:8747,proprotein convertase subtilisin/kexin type 5,PCSK5,gene
brain,LOC101927843,,LOC101927843,gene
brain,LOC101929028,,LOC101929028,gene
brain,HGNC:6134,integrin subunit alpha 1,ITGA1,gene
brain,HGNC:30652,stonin 2,STON2,gene
brain,HGNC:4849,hypocretin receptor 2,HCRTR2,gene
brain,HGNC:20151,solute carrier family 17 member 8,SLC17A8,gene
brain,LOC100128108,,LOC100128108,gene
brain,HGNC:11782,tyrosine hydroxylase,TH,gene
brain,HGNC:12659,vav guanine nucleotide exchange factor 3,VAV3,gene
brain,HGNC:14674,protocadherin related 15,PCDH15,gene
brain,HGNC:16770,semaphorin 6D,SEMA6D,gene
brain,LOC101926942,,LOC101926942,gene
brain,LOC105377862,,LOC105377862,gene
brain,HGNC:30670,synaptic vesicle glycoprotein 2C,SV2C,gene
brain,HGNC:1765,cadherin 6,CDH6,gene
brain,HGNC:17175,phospholipase C epsilon 1,PLCE1,gene
brain,HGNC:28870,MyoD family inhibitor domain containing,MDFIC,gene
brain,LOC101928964,,LOC101928964,gene
brain,GNC:20653,solute carrier family 9 member A9,SLC9A9,gene
brain,HGNC:7727,NEDD4 E3 ubiquitin protein ligase,NEDD4,gene
brain,HGNC:11480,supervillin,SVIL,gene
brain,LOC101927668,,LOC101927668,gene
brain,HGNC:21574,sterile alpha motif domain containing 3,SAMD3,gene
brain,HGNC:18123,activin A receptor type 1C,ACVR1C,gene
brain,LOC105377209,,LOC105377209,gene
brain,LOC101928278,,LOC101928278,gene
brain,HGNC:8951,serpin family E member 2,SERPINE2,gene
brain,LOC101927745,,LOC101927745,gene
brain,LOC105376987,,LOC105376987,gene
brain,HGNC:29185,phospholipase C eta 1,PLCH1,gene
brain,HGNC:29893,rhabdomyosarcoma 2 associated transcript,RMST,gene
brain,HGNC:1033,brain derived neurotrophic factor,BDNF,gene
brain,LOC105379003,,LOC105379003,gene
brain,,,SYT2,gene
brain,,,PRSS12,gene
brain,LOC105370610,,LOC105370610,gene
brain,LOC105378334,,LOC105378334,gene
brain,HGNC:3590,fibroblast activation protein alpha,FAP,gene
brain,LOC105376081,,LOC105376081,gene
brain,LOC100507562,,LOC100507562,gene
brain,LOC100128497,,LOC100128497,gene
brain,LOC101927281,,LOC101927281,gene
brain,,,TRP,gene
brain,LOC101927389,,LOC101927389,gene
brain,LOC101927874,,LOC101927874,gene
brain,LOC10537497,,LOC105374971,gene
brain,LOC105377703,,LOC105377703,gene
brain,LOC401134,,LOC401134,gene
brain,HGNC:11059,solute carrier family 7 member 11,SLC7A11,gene
brain,LOC105373893,,LOC105373893,gene
brain,LOC105378031,,LOC105378031,gene
brain,LOC105374971,,LOC105374971,gene
brain,HGNC:27013,TraB domain containing 2A,TRABD2A,gene
brain,LOC105374973,,LOC105374973,gene
brain,HGNC:24201,"reprimo, TP53 dependent G2 arrest mediator homolog",RPRM,gene
brain,HGNC:27940,long intergenic non-protein coding RNA 299,LINC00299,gene
brain,,,LINC00343,gene
brain,LOC105371832,,LOC105371832,gene
brain,LOC105374524,,LOC105374524,gene
brain,LOC105371310,,LOC105371310,gene
brain,HGNC:12337,transient receptor potential cation channel subfamily C member 5,TRPC5,gene
brain,LOC101927439,,LOC101927439,gene
brain,LOC105374392,,LOC105374392,gene
brain,LOC105377183,,LOC105377183,gene
brain,LOC105369890,,LOC105369890,gene
brain,LOC105371663,,LOC105371663,gene
brain,HGNC:25636,multiple C2 and transmembrane domain containing 2,MCTP2,gene
brain,HGNC:30301,"SEC16 homolog B, endoplasmic reticulum export factor",SEC16B,gene
brain,HGNC:15529,neuroligin 4 Y-linked,NLGN4Y,gene
brain,HGNC:8604,3'-phosphoadenosine 5'-phosphosulfate synthase 2,PAPSS2,gene
brain,HGNC:4183,guanylate binding protein 2,GBP2,gene
brain,HGNC:8820,prodynorphin,PDYN,gene
brain,LOC105378486,,LOC105378486,gene
brain,HGNC:48682,ADD3 antisense RNA 1,ADD3-AS1,gene
brain,LOC100132891,,LOC100132891,gene
brain,HGNC:8739,procollagen C-endopeptidase enhancer 2,PCOLCE2,gene
brain,LOC105373592,,LOC105373592,gene
brain,HGNC:14449,opsin 4,OPN4,gene
brain,HGNC:29315,vesicle amine transport 1 like,VAT1L,gene
brain,LOC105376457,,LOC105376457,gene
brain,HGNC:15195,olfactory receptor family 51 subfamily E member 2,OR51E2,gene
brain,HGNC:24327,vestigial like family member 3,VGLL3,gene
brain,LOC105370315,,LOC105370315,gene
brain,LOC105369818,,LOC105369818,gene
brain,LOC105370019,,LOC105370019,gene
brain,LOC101928114,,LOC101928114,gene
brain,LOC105376372,,LOC105376372,gene
brain,HGNC:25915,family with sequence similarity 222 member A,FAM222A,gene
brain,HGNC:6390,kinesin family member 25,KIF25,gene
brain,HGNC:11765,transforming growth factor alpha,TGFA,gene
brain,HGNC:3357,ectonucleotide pyrophosphatase/phosphodiesterase 2,ENPP2,gene
brain,LOC101927459,,LOC101927459,gene
brain,HGNC:6925,myelin basic protein,MBP,gene
brain,HGNC:28317,serine/threonine kinase 32A,STK32A,gene
brain,LOC105376917,,LOC105376917,gene
brain,HGNC:26708,cilia and flagella associated protein 47,CFAP47,gene
brain,HGNC:26587,WD repeat domain 49,WDR49,gene
brain,HGNC:2047,claudin 5,CLDN5,gene
brain,HGNC:16016,collectin subfamily member 12,COLEC12,gene
eye,HGNC:11742,transcription factor AP-2 alpha,TFAP2A,gene
eye,HGNC:11743,transcription factor AP-2 beta,TFAP2B,gene
eye,HGNC:11744,transcription factor AP-2 gamma,TFAP2C,gene
eye,HGNC:4092,glutamate decarboxylase 1,GAD1,gene
eye,HGNC:4093,glutamate decarboxylase 2,GAD2,gene
eye,HGNC:11056,solute carrier family 6 member 9,SLC6A9,gene
eye,HGNC:24182,complement C1q like 1,C1QL1,gene
eye,HGNC:24181,complement C1q like 2,C1QL2,gene
eye,HGNC:1434,calbindin 1,calbindin 1,protein
eye,HGNC:16941,"secretagogin, EF-hand calcium binding protein",secretagogin,protein
eye,HGNC:4092,glutamate decarboxylase 1,glutamate decarboxylase 1,protein
eye,HGNC:4093,glutamate decarboxylase 2,glutamic acid decarboxylase 65,protein
eye,HGNC:10575,secretogranin II,secretogranin II,protein
eye,HGNC:11782,Tyrosine hydroxylase,TH,protein
eye,HGNC:11329,Somatostatin,SST,protein
eye,HGNC:1912,Choline O-Acetyltransferase,CHAT,protein
eye,HGNC:9726,"glycogen phosphorylase, muscle associated",PYGM,protein
eye,HGNC:12693,vasoactive intestinal polypeptide,vasoactive intestinal polypeptide,protein
eye,HGNC:16941,"secretagogin, EF-hand calcium binding protein","secretagogin, EF-hand calcium binding protein",protein
eye,HGNC:7955,neuropeptide Y,neuropeptide Y,protein
eye,HGNC:11526,tachykinin receptor 1,tachykinin receptor 1,protein
eye,HGNC:11528,tachykinin receptor 3,tachykinin receptor 3,protein
eye,HGNC:24323,CART prepropeptide,Cocaine- and amphetamine-regulated transcript protein,protein
eye,HGNC:11510,Synaptotagmin-2,SYT2,protein
eye,HGNC:1435,calbindin 2,calbindin 2,protein
eye,HGNC:20151,solute carrier family 17 member 8,Vesicular glutamate transporter 3,protein
eye,HGNC:9704,parvalbumin,parvalbumin,protein
eye,HGNC:21637,SATB homeobox 2,SATB2,protein
eye,HGNC:19087,EBF transcription factor 3,EBF3,protein
eye,HGNC:9723,glycogen phosphorylase B,glycogen phosphorylase B,protein
eye,HGNC:787,nitric oxide synthase 1,nitric oxide synthase,protein
eye,HGNC:12693,vasoactive intestinal peptide,vasoactive intestinal polypeptide,protein
eye,HGNC:9723,glycogen phosphorylase B,glycogen phosphorylase,protein
eye,HGNC:1569,cholecystokinin,cholecystokinin,protein
eye,HGNC:1435,calbindin 2,Calretinin,protein
eye,HGNC:1912,choline O-acetyltransferase,choline O-acetyltransferase,protein
eye,HGNC:1975,Visual system homeobox 2,VSX2,gene
eye,HGNC:12723,Visual system homeobox 1,VSX1,gene
eye,HGNC:13714,calcium binding protein 5,CABP5,gene
eye,HGNC:8522,orthodenticle homeobox 2,OTX2,gene
eye,HGNC:4598,glutamate metabotropic receptor 6,GRM6,gene
eye,HGNC:9393,protein kinase C alpha,PRKCA,gene
eye,HGNC:7146,transient receptor potential cation channel subfamily M member 1,TRPM1,gene
eye,HGNC:4579,glutamate ionotropic receptor kainate type subunit 1,GRIK1,gene
eye,HGNC:1975,visual system homeobox 2,visual system homeobox 2,protein
eye,HGNC:4389,G protein subunit alpha o1,G protein subunit alpha o1,protein
eye,HGNC:6132,ISL LIM homeobox 1,Islet-1,protein
eye,HGNC:7103,major intrinsic protein of lens fiber,Aquaporin 0,protein
eye,HGNC:9937,recoverin,recoverin,protein
eye,HGNC:1569,Cholecystokinin,Cholecystokinin,protein
eye,HGNC:16941,secretagogin,Secretagogin,protein
eye,HGNC:10940,solute carrier family 1 member 2,solute carrier family 1 member 2,protein
eye,HGNC:1384,calcium binding protein 1,calcium binding protein 1,protein
eye,HGNC:4845,hyperpolarization activated cyclic nucleotide gated potassium channel 1,HCN1,protein
eye,HGNC:10585,sodium voltage-gated channel alpha subunit 1,sodium voltage-gated channel alpha subunit 1,protein
eye,HGNC:1394,calcium voltage-gated channel subunit alpha1 G,calcium voltage-gated channel subunit alpha1 G,protein
eye,,CD15,carbohydrate epitope 15 (3-fucosyl-N-acetyl-lactosamine),metabolites
eye,HGNC:9393,protein kinase C alpha,protein kinase C alpha,protein
eye,HGNC:4845,hyperpolarization activated cyclic nucleotide gated potassium channel 1,hyperpolarization activated cyclic nucleotide gated potassium channel 1,protein
eye,HGNC:9937,recoverin,Recoverin,protein
eye,HGNC:26483,glycosyltransferase 1 domain containing 1,glycosyltransferase 1 domain containing 1,protein
eye,HGNC:4400,G protein subunit beta 3,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3,protein
eye,HGNC:13635,plasmalemma vesicle-associated protein,PLVAP,protein
eye,HGNC:1375,carbonic anhydrase 4,Carbonic anhydrase 4,protein
eye,HGNC:710,arrestin 3,ARR3,gene
eye,HGNC:9937,recoverin,RCVRN,gene
eye,HGNC:4394,G protein subunit alpha transducin 2,GNAT2,gene
eye,HGNC:4412,G protein subunit gamma transducin 2,GNGT2,gene
eye,HGNC:9936,"opsin 1, long wave sensitive",OPN1LW,gene
eye,HGNC:8790,phosphodiesterase 6H,PDE6H,gene
eye,HGNC:4678,guanylate cyclase activator 1A,GUCA1A,gene
eye,HGNC:1012,"opsin 1, short wave sensitive",OPN1SW,gene
eye,HGNC:4206,"opsin 1, medium wave sensitive",OPN1MW,gene
eye,HGNC:710,arrestin 3,Arrestin-C,protein
eye,HGNC:8759,phosducin,phosducin,protein
eye,HGNC:1012,"opsin 1, short wave sensitive","opsin 1, short wave sensitive",protein
eye,HGNC:9936,"opsin 1, long wave sensitive","opsin 1, long wave sensitive",protein
eye,HGNC:4206,"opsin 1, medium wave sensitive","opsin 1, medium wave sensitive",protein
eye,HGNC:2047,claudin 5,CLDN5,gene
eye,HGNC:5476,insulin like growth factor binding protein 7,IGFBP7,gene
eye,HGNC:2202,collagen type IV alpha 1 chain,COL4A1,gene
eye,HGNC:19097,"RNA binding protein, mRNA processing factor",RBPMS,gene
eye,HGNC:9218,POU class 4 homeobox 1,POU4F1,gene
eye,HGNC:11801,Thy-1 cell surface antigen,THY1,gene
eye,HGNC:16703,solute carrier family 17 member 6,SLC17A6,gene
eye,HGNC:7739,neurofilament light chain,NEFL,gene
eye,HGNC:7734,neurofilament medium chain,NEFM,gene
eye,HGNC:9219,POU class 4 homeobox 2,POU4F2,gene
eye,HGNC:9220,POU class 4 homeobox 3,POU4F3,gene
eye,HGNC:11141,synuclein gamma,SNCG,gene
eye,HGNC:20778,tubulin beta class I,tubulin,protein
eye,HGNC:14449,opsin 4,melanopsin,protein
eye,HGNC:11801,Thy-1 cell surface antigen,Thy-1 cell surface antigen,protein
eye,HGNC:19097,"RNA binding protein, mRNA processing factor","RNA binding protein, mRNA processing factor",protein
eye,HGNC:1041,beaded filament structural protein 2,Phakinin,protein
eye,HGNC:6593,LIM homeobox 1,LHX1,gene
eye,HGNC:8138,one cut homeobox 1,ONECUT1,gene
eye,HGNC:1434,calbindin 1,CALB1,gene
eye,HGNC:8139,one cut homeobox 2,ONECUT2,gene
eye,HGNC:1748,cadherin 1,E-cadherin,protein
eye,,,myristoylated filensin,proteoforms
eye,HGNC:17494,gap junction protein gamma 2,connexin 46,protein
eye,,,truncated/phosphorylated forms of AQP0,proteoforms
eye,HGNC:352,allograft inflammatory factor 1,allograft inflammatory factor 1,protein
eye,HGNC:10024,retinaldehyde binding protein 1,RLBP1,gene
eye,HGNC:4341,glutamate-ammonia ligase,GLUL,gene
eye,HGNC:613,apolipoprotein E,APOE,gene
eye,HGNC:2338,cellular retinoic acid binding protein 1,CRABP1,gene
eye,HGNC:2095,clusterin,CLU,gene
