source_id,source_rdfs_label,source_name,source_type,relationship,target_id,target_rdfs_label,target_name,target_type
CL:0002144,capillary endothelial cell,capillary endothelial cell,CT,located_in,UBERON:0001982,capillary,vasculature,AS
,CGE_286 CGE interneuron Neuron of gray matter of forebrain,CGE_286,CT,located_in,UBERON:0019264,gray matter of forebrain,gray matter of forebrain,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,FMA:43902,Anterior tibial recurrent artery,anterior tibial recurrent artery,AS
CL:0002543,vein endothelial cell,endothelial cell of vein,CT,located_in,UBERON:0035659,deep facial vein,deep facial vein,AS
HGNC:19254,placenta associated 8,PLAC8,B,characterizes,CL:0008036,extravillous trophoblast,extravillous trophoblast (EVT),CT
CL:0001035,bone cell,bone cell,CT,located_in,,,vertebral foramen of sixth cervical vertebra,AS
CL:0000824,mature natural killer cell,mature Natural killer,CT,located_in,UBERON:0002371,Bone marrow,Bone marrow,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,,,middle internal frontal artery,AS
HGNC:6765,MADCAM1,MAd-CAM-1,B,characterizes,CL:0000499,stromal cell,Splenic Stromal Cell (non-FRC/non-FDC),CT
CL:0000188,cell of skeletal muscle,skeletal muscle cell,CT,located_in,UBERON:0008571,suprahyoid muscle,suprahyoid muscle,AS
CL:0000173,pancreatic D cell,Delta cell,CT,located_in,UBERON:0000006,islet of Langerhans,Islet of Langerhans,AS
,,RP11-134O15.3,B,characterizes,,Astro_57 Astrocyte Non-neuron of gray matter of forebrain,Astro_57,CT
HGNC:19864,,POU2F3,B,characterizes,CL:0019032,,tuft cell,CT
HGNC:6342,KIT,KIT,B,characterizes,CL:0000097,mast cell,Mast Cell,CT
CL:1000413,endothelial cell of artery,endothelial cell,CT,located_in,FMA:3823,Sinoatrial nodal branch of right coronary artery,sinoatrial nodal artery,AS
CL:1001433,epithelial cell of exocrine pancreas,Ductal epithelial cell,CT,located_in,UBERON:0012271,major duodenal papilla,Major duodenal papilla,AS
HGNC:6765,MADCAM1,MADCAM1,B,characterizes,CL:0000442,follicular dendritic cell,Follicular Dendritic Cell,CT
HGNC:6152,ITGAX,CD11c,B,characterizes,,,Subcapsular Dendritic Cell,CT
CL:0000057,fibroblast,fibroblast,CT,located_in,UBERON:0001616,maxillary artery,maxillary artery,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,,,lateral proper plantar digital artery of fourth digit of foot,AS
HGNC:1633,,CD19,B,characterizes,CL:0000236,B cell,B cell,CT
CL:0002543,vein endothelial cell,endothelial cell of vein,CT,located_in,UBERON:0006139,plantar digital vein,plantar digital vein,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,FMA:49962,Anterior ciliary artery,anterior ciliary artery,AS
HGNC:1645,CD24,CD24,B,characterizes,CL:0000786,plasma cell,plasma cell,CT
CL:0001035,bone cell,bone cell,CT,located_in,,,articular facet of tubercle of first rib,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,FMA:23046,Medial proper palmar digital artery of ring finger,medial proper palmar digital artery of fourth digit of hand,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,UBERON:0035183,calcarine artery,calcarine artery,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,UBERON:0015480,proper hepatic artery,proper hepatic artery,AS
UBERON:0002073,hair follicle,Hair follicles,AS,part_of,UBERON:0002067,dermis,Dermis,AS
HGNC:43906,OTX2 antisense RNA 1 (head to head),OTX2-AS1,B,characterizes,,Midi_433 Midbrain-derived inhibitory Neuron of brain,Midi_433,CT
CL:0002543,vein endothelial cell,endothelial cell of vein,CT,located_in,,,posterior accessory saphenous vein,AS
FMA:81373,nerve to serratus anterior (1),branch of long thoracic nerve to serratus anterior (1),AS,part_of,FMA:65275,long thoracic nerve,long thoracic nerve,AS
CL:0000540,neuron,neuron,CT,located_in,FMA:84178,branch of lateral pectoral nerve to glenohumeral joint,branch of lateral pectoral nerve to glenohumeral joint,AS
HGNC:1748,e-cadherin,CDH1,B,characterizes,CL:4033023,airway submucosal gland collecting duct epithelial cell,airway submucosal gland collecting duct epithelial cell,CT
UBERON:0002740,posterior cingulate gyrus,"cingulate gyrus, caudal (posterior) part",AS,part_of,UBERON:0002967,cingulate gyrus,cingulate gyrus,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,FMA:70777,Set of short posterior ciliary arteries,short posterior ciliary artery,AS
HGNC:6001,,IL2,B,characterizes,CL:0000897,"CD4-positive, alpha-beta memory T cell",CD4 T cell memory,CT
UBERON:0009006,deep inguinal lymph node,deep inguinal lymph node,AS,part_of,UBERON:0015880,external iliac lymph node,external iliac lymph node,AS
HGNC:17995,transient receptor potential cation channel subfamily M member 6,TRPM6,B,characterizes,CL:1000849,kidney distal convoluted tubule epithelial cell,Distal Convoluted Tubule Cell,CT
FMA:52694,long ciliary nerve to iris,long ciliary nerve to iris,AS,part_of,FMA:52691,long ciliary nerve,long ciliary nerve,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,,,lateral plantar vein,AS
HGNC:2532,,CTSG,B,characterizes,CL:0000836,promyelocyte,promyelocyte,CT
CL:0000623,natural killer cell,NK Cell,CT,located_in,UBERON:0001960,periarterial lymphatic sheath,Periarteriolar Lymphoid Sheath (PALS),AS
,CA4_191 Hippocampal CA4 Neuron of hippocampal gyrus (formation),CA4_191,CT,located_in,,,hippocampal gyrus (formation),AS
CL:0000057,fibroblast,fibroblast,CT,located_in,UBERON:0035404,superior hypophysial artery,superior hypophyseal artery,AS
,,KLRC1,B,characterizes,,,Natural killer cell,CT
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,FMA:3840,Posterior interventricular branch of right coronary artery,posterior descending artery,AS
LOC105369890,,LOC105369890,B,characterizes,PCL:0015099,Exc L5 THEMIS LINC01116 primary motor cortex glutamatergic neuron (Hsap),Exc L5 THEMIS LINC01116,CT
HGNC:29602,PDPN,Podoplanin,B,characterizes,CL:0002138,endothelial cell of lymphatic vessel,Lymphatic Endothelium Cell,CT
HGNC:8514,CLDN11,Claudin 11,B,characterizes,CL:0009108,lymphatic endothelial cell of subcapsular sinus floor,Lymphatic Endothelial Cell-Subcapsular Sinus Floor,CT
,Thex_447 Thalamic excitatory Neuron of thalamus,Thex_447,CT,located_in,,,thalamus,AS
CL:0001035,bone cell,bone cell,CT,located_in,,,superior costal facet of fifth thoracic vertebra,AS
UBERON:0014637,thoracic spinal cord white matter,thoracic spinal cord white matter,AS,part_of,UBERON:0003038,thoracic spinal cord,thoracic spinal cord,AS
HGNC:11892,tumor necrosis factor,TNF,B,characterizes,CL:0001087,"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",CD4 T cell effector memory CD45RA,CT
FMA:8764,anterior ramus of second lumbar nerve,ventral ramus of second lumbar spinal nerve,AS,part_of,FMA:6176,second lumbar nerve,second lumbar spinal nerve,AS
CL:0000540,neuron,neuron,CT,located_in,FMA:52628,lacrimal nerve,lacrimal nerve,AS
UBERON:0000086,zona pellucida,zona pellucida,AS,part_of,,,pre-selection antral follicle,AS
,,superficial transverse perineal muscle,AS,part_of,UBERON:0002379,perineal muscle,perineal muscle,AS
HGNC:9666,PTPRC,CD45,B,characterizes,CL:0009076,neuro-medullary thymic epithelial cell,neuro-medullary thymic epithelial cell,CT
CL:0000188,cell of skeletal muscle,skeletal muscle cell,CT,located_in,UBERON:0002382,rectus abdominis muscle,rectus abdominis muscle,AS
,,depressor labii inferioris muscle,AS,part_of,,,muscle of facial expression,AS
CL:0000540,neuron,neuron,CT,located_in,FMA:6290,fourth thoracic nerve,fourth thoracic spinal nerve,AS
HGNC:3559,fatty acid binding protein 4,FABP4,B,characterizes,,,alveolar macrophage proliferating,CT
CL:0001035,bone cell,bone cell,CT,located_in,,,pecten pubis of pubis of os coxa,AS
,MGE_261 MGE interneuron Neuron of cerebral cortex,MGE_261,CT,located_in,UBERON:0000956,cerebral cortex,cerebral cortex,AS
HGNC:6018,IL6,IL-6,B,characterizes,,,Splenic Red Pulp Stromal Cell,CT
CL:0001035,bone cell,bone cell,CT,located_in,,,tubercle of eighth rib,AS
,CBI_300 Cerebellar inhibitory Neuron of gray matter of hindbrain,CBI_300,CT,located_in,UBERON:0019263,gray matter of hindbrain,gray matter of hindbrain,AS
UBERON:0001404,radial artery,radial artery,AS,part_of,UBERON:0001398,brachial artery,brachial artery,AS
CL:0000540,neuron,neuron,CT,located_in,FMA:6881,posterior branch of great auricular nerve,greater auricular nerve posterior branch,AS
UBERON:0009688,posterior inferior cerebellar artery,posterior inferior cerebellar artery,AS,part_of,UBERON:0001535,vertebral artery,vertebral artery,AS
HGNC:3609,,FCER1A,B,characterizes,CL:0000990,conventional dendritic cell,dendritic cell type 2 (DC2),CT
,,transverse process of fifth cervical vertebra,AS,part_of,UBERON:0004614,mammalian cervical vertebra 5,cervical vertebra 5,AS
,Amex_156 Amygdala excitatory Neuron of gray matter of forebrain,Amex_156,CT,is_a,CL:4023039,amygdala excitatory neuron,amygdala excitatory neuron,CT
UBERON:0003987,Hassall's corpuscle,Hassall's corpuscle,AS,part_of,UBERON:0003846,thymus epithelium,thymus epithelium,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,FMA:43961,Third plantar metatarsal artery,third plantar metatarsal artery,AS
UBERON:0000397,surface epithelium,epithelium,AS,part_of,UBERON:0004989,mucosa,mucosa,AS
HGNC:3969,follicle stimulating hormone receptor,FSHR,B,characterizes,,Mmb_325 Mammillary body Neuron of hypothalamus,Mmb_325,CT
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,,,dorsal meningeal artery,AS
,LLC_268 LAMP5-LHX6 and Chandelier Neuron of hippocampal gyrus (formation),LLC_268,CT,is_a,CL:0000402,CNS interneuron,CNS interneuron,CT
UBERON:0002998,inferior frontal gyrus,inferior frontal gyrus,AS,part_of,UBERON:0016525,frontal lobe,frontal lobe,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,FMA:52242,Common cochlear artery,common cochlear artery,AS
CL:0000099,Interneuron,Interneuron,CT,located_in,UBERON:0001791,inner nuclear layer of retina,inner nuclear layer,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,UBERON:0002270,hyaloid artery,hyaloid artery,AS
CL:0001035,bone cell,bone cell,CT,located_in,,,superior articular facet of sixth cervical vertebra,AS
HGNC:3180,endothelin receptor type B,EDNRB,B,characterizes,,Thex_449 Thalamic excitatory Neuron of thalamus,Thex_449,CT
HGNC:43906,OTX2 antisense RNA 1 (head to head),OTX2-AS1,B,characterizes,,Splat_351 Splatter Neuron of brain,Splat_351,CT
,,shaft of first proximal phalanx of hand,AS,part_of,UBERON:0004338,proximal phalanx of manual digit 1,proximal phalanx of digit of hand 1,AS
HGNC:9360,PRF1,Perforin,B,characterizes,CL:0000623,natural killer cell,NK Cell,CT
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,UBERON:0001310,umbilical artery,umbilical artery,AS
FMA:6206,anterolateral diaphragmatic branch of phrenic nerve,anterolateral diaphragmatic branch of phrenic nerve,AS,part_of,UBERON:0001884,phrenic nerve,phrenic nerve,AS
HGNC:10640,C-X-C motif chemokine ligand 14,CXCL14,B,characterizes,,CGE_279 CGE interneuron Neuron of gray matter of forebrain,CGE_279,CT
CL:0001035,bone cell,bone cell,CT,located_in,,,greater palatine canal of maxilla,AS
HGNC:4235,GFAP,,B,characterizes,CL:0000632,hepatic stellate cell,quiescent hepatic stellate cell,CT
UBERON:0000065,respiratory tract,respiratory tract,AS,part_of,UBERON:0001004,respiratory system,respiratory system,AS
HGNC:4172,GATA binding protein 3,GATA3,B,characterizes,CL:1000768,kidney connecting tubule epithelial cell,Connecting Tubule Cell,CT
,Splat_355 Splatter Neuron of brain,Splat_355,CT,is_a,CL:0000540,neuron,neuron,CT
CL:0001035,bone cell,bone cell,CT,located_in,,,tubercle of ninth rib,AS
CL:0000188,cell of skeletal muscle,skeletal muscle cell,CT,located_in,UBERON:0001566,cricothyroid muscle,cricothyroid muscle,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,,,lobar artery of spleen,AS
UBERON:0001616,maxillary artery,maxillary artery,AS,part_of,UBERON:0001070,external carotid artery,external carotid artery,AS
UBERON:0004617,lumbar vertebra 1,lumbar vertebra 1,AS,part_of,UBERON:0002414,lumbar vertebra,lumbar vertebra,AS
HGNC:3349,endoglin,ENG,B,characterizes,CL:0002568,mesenchymal stem cell of Wharton's jelly,mesenchymal stromal cell of Wharton's jelly,CT
CL:0000540,neuron,neuron,CT,located_in,FMA:53189,masseteric nerve proper,masseteric nerve proper,AS
HGNC:1674,CD3E,CD3,B,characterizes,CL:0000990,conventional dendritic cell,dendritic cell type 2 (DC2),CT
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,FMA:50475,Branch of middle cerebral artery to angular gyrus,artery to angular gyrus,AS
CL:0000128,oligodendrocyte,oligodendrocyte,CT,located_in,UBERON:0001898,hypothalamus,hypothalamus,AS
HGNC:10972,solute carrier family 22 member 8,SLC22A8,B,characterizes,CL:4030010,epithelial cell of proximal tubule segment 2,Proximal Tubule Epithelial Cell Segment 2,CT
CL:0000188,cell of skeletal muscle,skeletal muscle cell,CT,located_in,UBERON:0008618,subcostal muscle,subcostal muscle,AS
FMA:82921,branch of iliohypogastric nerve to internal oblique,branch of iliohypogastric nerve to internal oblique,AS,part_of,FMA:16482,iliohypogastric nerve,iliohypogastric nerve,AS
HGNC:9662,SIRPA,CD172a,B,characterizes,,,Splenic Littoral Cell,CT
UBERON:0008783,dorsal venous arch,dorsal venous arch of foot #2,AS,part_of,UBERON:0001550,medial marginal vein,medial marginal vein,AS
HGNC:1667,CD38,CD38,B,characterizes,CL:0000788,naive B cell,Naive B Cell,CT
,DG_203 Hippocampal dentate gyrus Neuron of hippocampal gyrus (formation),DG_203,CT,located_in,,,hippocampal gyrus (formation),AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,FMA:20804,Ascending branch of lateral circumflex femoral artery,ascending branch of lateral femoral circumflex artery,AS
HGNC:1639,CD2,CD2,B,characterizes,,,lympho-myeloid progenitor cell (LMPP),CT
CL:0000540,neuron,neuron,CT,located_in,FMA:65296,lateral pectoral nerve,lateral pectoral nerve,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,UBERON:0007152,inferior sagittal sinus,inferior sagittal sinus,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,UBERON:0035040,superior rectal artery,superior rectal artery,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,FMA:69798,Posterior division of internal iliac artery,posterior division of internal iliac artery,AS
HGNC:1748,Cadherin-1,CDH1,B,characterizes,CL:1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,Cortical Thick Ascending Limb Cell,CT
,,chondroglossus of hyoglossus muscle,AS,part_of,UBERON:0001572,hyoglossus muscle,hyoglossus muscle,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,,,lateral proper plantar digital artery of fourth digit of foot,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,UBERON:0001184,renal artery,renal artery,AS
FMA:79913,nerve to flexor digiti minimi brevis of foot,nerve to flexor digiti minimi brevis of foot,AS,part_of,FMA:44768,fifth common plantar digital nerve,fifth common plantar digital nerve,AS
CL:2000053,splenic endothelial cell,Splenic endothelial cell,CT,located_in,UBERON:0001194,Splenic Artery,Splenic Artery,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,UBERON:0001315,superior gluteal artery,superior gluteal artery,AS
HGNC:5137,homeobox D3,HOXD3,B,characterizes,,Splat_338 Splatter Neuron of medulla oblongata,Splat_338,CT
,,superior parietal artery,AS,part_of,UBERON:0001624,anterior cerebral artery,anterior cerebral artery,AS
FMA:82560,nerve proper to mylohyoid,nerve proper to mylohyoid,AS,part_of,FMA:53247,mylohyoid nerve,mylohyoid branch of inferior alveolar nerve,AS
,,Interdigitating Dendritic Cells,CT,located_in,,,Inner PALS,AS
UBERON:0001636,posterior cerebral artery,posterior cerebral artery,AS,part_of,UBERON:0001633,basilar artery,basilar artery,AS
HGNC:28495,ZNF683,ZNF683,B,characterizes,CL:0009069,CD8aa(II) thymocyte,CD8aa(II) thymocyte,CT
,,lateral inferior ovary,AS,part_of,,,lateral ovary,AS
CL:0001035,bone cell,bone cell,CT,located_in,,,base of first metacarpal bone,AS
HGNC:53147,long intergenic non-protein coding RNA 2248,LINC02248,B,characterizes,,DG_203 Hippocampal dentate gyrus Neuron of hippocampal gyrus (formation),DG_203,CT
,,superior articular facet of tenth thoracic vertebra,AS,part_of,UBERON:0004634,thoracic vertebra 10,thoracic vertebra 10,AS
HGNC:1686,CD53 molecule,CD53,B,characterizes,CL:0000938,"CD16-negative, CD56-bright natural killer cell, human",NK CD56bright,CT
HGNC:16231,cerebellin 4 precursor,CBLN4,B,characterizes,,MGE_244 MGE interneuron Neuron of gray matter of forebrain,MGE_244,CT
UBERON:0003331,submucosa of colon,submucosa,AS,part_of,UBERON:0001157,transverse colon,transverse colon,AS
,,superior temporal line of parietal bone,AS,part_of,UBERON:0000210,tetrapod parietal bone,parietal bone,AS
CL:0000815,regulatory T cell,regulatory T cell,CT,located_in,UBERON:0005215,kidney interstitium,Interstitium,AS
HGNC:26308,cadherin related family member 3,CDHR3,B,characterizes,CL:0000540,neuron,Dorsal Inhibitory Neuron 4,CT
CL:0000188,cell of skeletal muscle,skeletal muscle cell,CT,located_in,,,occipital belly of occipitofrontalis muscle,AS
HGNC:50645,long intergenic non-protein coding RNA 1378,LINC01378,B,characterizes,,ULIT_120 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_120,CT
HGNC:7508,MUC1,Epidermal membrane Antigen,B,characterizes,,,perineurial cells,CT
UBERON:0001228,renal papilla,Papilla,AS,part_of,UBERON:0002113,kidney,kidney,AS
UBERON:0002395,talus,talus,AS,part_of,UBERON:0005899,pes bone,foot bone,AS
,,corpus luteum endothelial cell,CT,located_in,UBERON:0002512,corpus luteum,corpus luteum,AS
HGNC:13258,CLEC4C,CD303,B,characterizes,CL:0001056,"dendritic cell, human",dendritic cell type 3 (DC3),CT
PCL:0015121,Oligo L5-6 OPALIN LDLRAP1 primary motor cortex oligodendrocyte (Hsap),Oligo L5-6 OPALIN LDLRAP1,CT,located_in,UBERON:0001384,Primary motor cortex,Primary motor cortex,AS
,,supraparietal lobule,AS,part_of,UBERON:0001872,parietal lobe,parietal lobe,AS
,,M2-like macrophage,CT,is_a,CL:0000235,macrophage,Macrophage,CT
HGNC:11528,tachykinin receptor 3,tachykinin receptor 3,B,characterizes,,,glutamic acid decarboxylase 65 cell,CT
CL:0000188,cell of skeletal muscle,skeletal muscle cell,CT,located_in,,,puboanalis muscle,AS
UBERON:0004620,lumbar vertebra 4,lumbar vertebra 4,AS,part_of,UBERON:0002414,lumbar vertebra,lumbar vertebra,AS
,,columnar ovarian surface epithelial cell,CT,located_in,UBERON:0004911,epithelium of female gonad,epithelium of female gonad,AS
HGNC:8804,,PDGFRB,B,characterizes,CL:0000669,pericyte cell,pericyte,CT
CL:0000787,memory B cell,Memory B Cell,CT,located_in,UBERON:0001251,Marginal Zone of Spleen,Superficial Zone,AS
LOC101927389,,LOC101927389,B,characterizes,PCL:0015096,Exc L6 THEMIS SNTG2 primary motor cortex glutamatergic neuron (Hsap),Exc L6 THEMIS SNTG2,CT
CL:0000057,fibroblast,fibroblast,CT,located_in,FMA:14763,Left ovarian artery,left ovarian artery,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,FMA:23048,Lateral proper palmar digital artery of little finger,lateral proper palmar digital artery of fifth digit of hand,AS
CL:0002543,vein endothelial cell,endothelial cell of vein,CT,located_in,UBERON:0012196,right superior intercostal vein,right superior intercostal vein,AS
HGNC:1628,CD14,CD14,B,characterizes,CL:0000051,common lymphoid progenitor,common lymphoid progenitor (CLP),CT
CL:0000540,neuron,neuron,CT,located_in,FMA:82607,nerve to transverse muscle of auricle,nerve to transverse muscle of auricle,AS
,,acromial process of scapula,AS,part_of,UBERON:0006849,scapula,scapula,AS
HGNC:11517,tachykinin precursor 1,TAC1,B,characterizes,CL:0000540,neuron,Dorsal Excitatory Neuron 10,CT
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,UBERON:0014773,medial palpebral artery,medial palpebral artery,AS
CL:0001035,bone cell,bone cell,CT,located_in,,,head of fourth distal phalanx of hand,AS
,,E-cadherin,B,characterizes,,,limbal stem cells,CT
CL:0000057,fibroblast,fibroblast,CT,located_in,UBERON:0007693,caroticotympanic artery,caroticotympanic artery,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,FMA:22838,Deep palmar arterial arch,deep palmar arch,AS
HGNC:6147,ITGAE,integrin subunit alpha E/CD103,B,characterizes,CL:0001006,dermal dendritic cell,Dendritic cell (migratory),CT
,,AC011288.2,B,characterizes,,ULIT_121 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_121,CT
,,infraglenoid tubercle of scapula,AS,part_of,UBERON:0006849,scapula,scapula,AS
,,HLA-DR,B,characterizes,CL:0000235,macrophage,macrophage,CT
,,SI,B,characterizes,CL:0000212,absorptive cell,absorptive,CT
CL:0002068,Purkinje myocyte,Purkinje fiber cell,CT,located_in,UBERON:0006567,right ventricle myocardium,myocardium,AS
CL:0002543,vein endothelial cell,endothelial cell of vein,CT,located_in,UBERON:0001141,right renal vein,right renal vein,AS
,,SPINK2,B,characterizes,,,innate lymphoid cell,CT
UBERON:0001605,ciliary muscle,ciliary muscle,AS,part_of,,,intrinsic eye muscle,AS
HGNC:26563,chromosome 10 open reading frame 90,C10orf90,B,characterizes,,Misc_166 Miscellaneous Neuron of cerebral cortex,Misc_166,CT
CL:0002138,endothelial cell of lymphatic vessel,lymphatic endothelial cell,CT,located_in,FMA:71743,Set of humeral lymph nodes,humeral lymph node #2,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,UBERON:0008889,uterine venous plexus,uterine venous plexus,AS
CL:0000909,"CD8-positive, alpha-beta memory T cell",CD8+ T memory,CT,located_in,UBERON:0002124,medulla of thymus,medulla of thymus,AS
FMA:44836,palmar branch of median nerve,palmar branch of median nerve,AS,part_of,UBERON:0001148,median nerve,median nerve,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,,,eustachian branch of ascending pharyngeal artery,AS
P02462,Collagen alpha-1(IV) chain,COL4A1,B,characterizes,CL:1000692,kidney interstitial fibroblast,Fibroblast,CT
CL:0001035,bone cell,bone cell,CT,located_in,,,superior costal facet of first thoracic vertebra,AS
,,RP11-517I3.1,B,characterizes,,Astro_64 Astrocyte Non-neuron of hypothalamus,Astro_64,CT
HGNC:10646,X-C motif chemokine ligand 2,XCL2,B,characterizes,CL:0000938,"CD16-negative, CD56-bright natural killer cell, human",NK CD56bright,CT
HGNC:29109,"thymocyte expressed, positive selection associated 1",TESPA1,B,characterizes,,DLIT_149 Deep-layer intratelencephalic Neuron of cerebral cortex,DLIT_149,CT
HGNC:1678,CD4,CD4,B,characterizes,CL:0002437,mature CD8 single-positive thymocyte,mature CD8 T cell,CT
CL:0000188,cell of skeletal muscle,skeletal muscle cell,CT,located_in,,,levator labii superioris alaeque nasi muscle,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,FMA:49621,Muscular branch of occipital artery,muscular branch of occipital artery,AS
HGNC:13221,,BCL11A,B,characterizes,,,lympho-myeloid progenitor cell (LMPP),CT
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,FMA:68070,Left inferior phrenic vein,left inferior phrenic vein,AS
HGNC:1678,CD4,CD4-,B,characterizes,CL:0001050,"effector CD8-positive, alpha-beta T cell",CD8+ T Cell,CT
CL:0000540,neuron,neuron,CT,located_in,FMA:20661,communicating branch of femoral branch of genitofemoral nerve with intermediate femoral cutaneous nerve,communicating branch of femoral branch of genitofemoral nerve with intermediate femoral cutaneous nerve,AS
HGNC:24222,cell division cycle 20B,CDC20B,B,characterizes,,,airway deuterosomal cell,CT
CL:0000057,fibroblast,fibroblast,CT,located_in,FMA:49809,Posterior septal branch of sphenopalatine artery,posterior septal branch of sphenopalatine artery,AS
CL:0000057,fibroblast,fibroblast,CT,located_in,UBERON:0001628,posterior communicating artery,posterior communicating artery,AS
HGNC:9666,PTPRC,CD45RA,B,characterizes,CL:0001087,"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",CD4 T cell effector memory CD45RA,CT
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,UBERON:0013132,penicillar arteriole,penicillar arteriole,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,,,periductal arteriole of accessory pancreatic duct,AS
CL:0001035,bone cell,bone cell,CT,located_in,UBERON:0004330,proximal phalanx of manual digit 4,proximal phalanx of digit of hand 4,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,FMA:4360,Right tenth posterior intercostal artery,right posterior intercostal artery 10,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,FMA:22810,Anterior interosseous artery,anterior interosseous artery,AS
CL:0000540,neuron,neuron,CT,located_in,FMA:80252,nerve to fourth palmar interosseous of hand,branch of deep branch of ulnar nerve to fourth palmar interosseous of hand,AS
FMA:16511,inferior gluteal nerve,inferior gluteal nerve,AS,part_of,UBERON:0034986,sacral nerve plexus,sacral plexus,AS
HGNC:14323,,TRPM5,B,characterizes,CL:0019032,,tuft cell,CT
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,UBERON:0001192,left gastric artery,left gastric artery,AS
,,RP11-191L9.4,B,characterizes,,ULIT_130 Upper-layer intratelencephalic Neuron of cerebral cortex,ULIT_130,CT
CL:0001078,"group 3 innate lymphoid cell, human",group 3 innate lymphoid cell,CT,located_in,UBERON:0002124,medulla of thymus,medulla of thymus,AS
CL:0002543,vein endothelial cell,endothelial cell of vein,CT,located_in,FMA:22958,Dorsal digital vein of finger,dorsal digital vein of hand,AS
HGNC:637,aquaporin 4,Aquaporin 4,B,characterizes,CL:0002304,non-pigmented ciliary epithelial cell,non-pigmented ciliary epithelial cell,CT
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,,,superficial submandibular vein,AS
FMA:52242,Common cochlear artery,common cochlear artery,AS,part_of,UBERON:0018231,labyrinthine artery,labyrinthine artery,AS
,,alar part of nasalis muscle,AS,part_of,UBERON:0010953,nasalis muscle,nasalis muscle,AS
UBERON:0001402,longissimus cervicis muscle,longissimus cervicis muscle,AS,part_of,,,erector spinae muscle,AS
UBERON:0005304,submucous nerve plexus,submucosal plexus of Henle,AS,part_of,UBERON:0003331,submucosa of colon,submucosa,AS
CL:0001035,bone cell,bone cell,CT,located_in,UBERON:0000979,tibia,tibia,AS
HGNC:14404,ethanolamine-phosphate phospho-lyase,ETNPPL,B,characterizes,,Astro_54 Astrocyte Non-neuron of gray matter of forebrain,Astro_54,CT
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,UBERON:0001185,right renal artery,right renal artery,AS
,,costal groove of fifth rib,AS,part_of,UBERON:0004605,rib 5,rib 5,AS
HGNC:6934,melanoma cell adhesion molecule,MCAM,B,characterizes,,,vascular smooth muscle cell of ureter,CT
CL:0001035,bone cell,bone cell,CT,located_in,UBERON:0009985,lateral condyle of femur,lateral condyle of femur,AS
