,soma_joinid,organism,category,ontology_term_id,unique_cell_count,total_cell_count,label
345,345,Homo sapiens,cell_type,CL:0002131,125289,250578,regular ventricular cardiac myocyte
346,346,Homo sapiens,cell_type,CL:0002132,43510,43510,stromal cell of ovary
347,347,Homo sapiens,cell_type,CL:0002138,68742,130017,endothelial cell of lymphatic vessel
348,348,Homo sapiens,cell_type,CL:0002139,108337,133868,endothelial cell of vascular tree
349,349,Homo sapiens,cell_type,CL:0002144,143801,363102,capillary endothelial cell
350,350,Homo sapiens,cell_type,CL:0002145,71275,148299,ciliated columnar cell of tracheobronchial tree
351,351,Homo sapiens,cell_type,CL:0002149,194,582,epithelial cell of uterus
352,352,Homo sapiens,cell_type,CL:0002151,2079,2079,late promyelocyte
353,353,Homo sapiens,cell_type,CL:0002154,6528,6528,early promyelocyte
354,354,Homo sapiens,cell_type,CL:0002157,54,54,endosteal cell
355,355,Homo sapiens,cell_type,CL:0002179,31638,94899,foveolar cell of stomach
356,356,Homo sapiens,cell_type,CL:0002187,28664,28664,basal cell of epidermis
357,357,Homo sapiens,cell_type,CL:0002188,622,1866,glomerular endothelial cell
358,358,Homo sapiens,cell_type,CL:0002189,212,212,granular cell of epidermis
359,359,Homo sapiens,cell_type,CL:0002193,8923,11880,myelocyte
360,360,Homo sapiens,cell_type,CL:0002201,925,1477,renal beta-intercalated cell
361,361,Homo sapiens,cell_type,CL:0002204,3411,4017,brush cell
362,362,Homo sapiens,cell_type,CL:0002207,61,61,brush cell of trachea
363,363,Homo sapiens,cell_type,CL:0002223,6160,6160,anterior lens cell
364,364,Homo sapiens,cell_type,CL:0002224,5276,5276,lens epithelial cell
365,365,Homo sapiens,cell_type,CL:0002225,1677,1677,secondary lens fiber
366,366,Homo sapiens,cell_type,CL:0002231,4587,4587,epithelial cell of prostate
367,367,Homo sapiens,cell_type,CL:0002236,7295,7295,basal epithelial cell of prostatic duct
368,368,Homo sapiens,cell_type,CL:0002241,8344,16633,pulmonary interstitial fibroblast
369,369,Homo sapiens,cell_type,CL:0002243,935,2221,smooth muscle cell of sphincter of pupil
370,370,Homo sapiens,cell_type,CL:0002250,2129,2374,intestinal crypt stem cell
371,371,Homo sapiens,cell_type,CL:0002252,28360,56720,epithelial cell of esophagus
372,372,Homo sapiens,cell_type,CL:0002254,339,339,epithelial cell of small intestine
373,373,Homo sapiens,cell_type,CL:0002258,7302,7302,thyroid follicular cell
374,374,Homo sapiens,cell_type,CL:0002262,592,592,endothelial cell of sinusoid
375,375,Homo sapiens,cell_type,CL:0002268,1179,3532,P/D1 enteroendocrine cell
376,376,Homo sapiens,cell_type,CL:0002275,192,334,pancreatic PP cell
377,377,Homo sapiens,cell_type,CL:0002277,71,227,type I enteroendocrine cell
378,378,Homo sapiens,cell_type,CL:0002278,64,83,GIP cell
379,379,Homo sapiens,cell_type,CL:0002279,1201,1245,type L enteroendocrine cell
380,380,Homo sapiens,cell_type,CL:0002280,10,44,type N enteroendocrine cell
381,381,Homo sapiens,cell_type,CL:0002293,813,942,epithelial cell of thymus
382,382,Homo sapiens,cell_type,CL:0002303,1015,16195,pigmented ciliary epithelial cell
383,383,Homo sapiens,cell_type,CL:0002304,997,6327,non-pigmented ciliary epithelial cell
384,384,Homo sapiens,cell_type,CL:0002306,135179,238736,epithelial cell of proximal tubule
385,385,Homo sapiens,cell_type,CL:0002319,13248,17830,neural cell
386,386,Homo sapiens,cell_type,CL:0002320,249,747,connective tissue cell
387,387,Homo sapiens,cell_type,CL:0002322,34,34,embryonic stem cell
388,388,Homo sapiens,cell_type,CL:0002324,34445,65962,myoepithelial cell of mammary gland
389,389,Homo sapiens,cell_type,CL:0002326,291871,537129,luminal epithelial cell of mammary gland
390,390,Homo sapiens,cell_type,CL:0002327,34161,69308,mammary gland epithelial cell
391,391,Homo sapiens,cell_type,CL:0002328,693,693,bronchial epithelial cell
392,392,Homo sapiens,cell_type,CL:0002329,8145,8145,basal epithelial cell of tracheobronchial tree
393,393,Homo sapiens,cell_type,CL:0002340,15777,29128,luminal cell of prostate epithelium
394,394,Homo sapiens,cell_type,CL:0002341,33057,138418,basal cell of prostate epithelium
395,395,Homo sapiens,cell_type,CL:0002343,37559,37559,"decidual natural killer cell, human"
396,396,Homo sapiens,cell_type,CL:0002350,9065,11688,endocardial cell
397,397,Homo sapiens,cell_type,CL:0002351,40,336,progenitor cell of endocrine pancreas
398,398,Homo sapiens,cell_type,CL:0002355,9644,9949,primitive red blood cell
399,399,Homo sapiens,cell_type,CL:0002363,595,1785,keratocyte
400,400,Homo sapiens,cell_type,CL:0002364,9411,18812,cortical thymic epithelial cell
401,401,Homo sapiens,cell_type,CL:0002365,7359,16740,medullary thymic epithelial cell
402,402,Homo sapiens,cell_type,CL:0002366,199,597,myometrial cell
403,403,Homo sapiens,cell_type,CL:0002368,1423,4269,respiratory epithelial cell
404,404,Homo sapiens,cell_type,CL:0002370,762,2286,respiratory goblet cell
405,405,Homo sapiens,cell_type,CL:0002371,2785,5615,somatic cell
406,406,Homo sapiens,cell_type,CL:0002375,192,384,Schwann cell precursor
407,407,Homo sapiens,cell_type,CL:0002377,33,66,immature Schwann cell
408,408,Homo sapiens,cell_type,CL:0002393,6148,7526,intermediate monocyte
409,409,Homo sapiens,cell_type,CL:0002394,1047,1599,CD141-positive myeloid dendritic cell
410,410,Homo sapiens,cell_type,CL:0002396,70039,70039,"CD14-low, CD16-positive monocyte"
411,411,Homo sapiens,cell_type,CL:0002397,20045,23323,"CD14-positive, CD16-positive monocyte"
412,412,Homo sapiens,cell_type,CL:0002399,58332,115205,CD1c-positive myeloid dendritic cell
413,413,Homo sapiens,cell_type,CL:0002410,2556,3342,pancreatic stellate cell
414,414,Homo sapiens,cell_type,CL:0002419,101590,156203,mature T cell
415,415,Homo sapiens,cell_type,CL:0002422,304,304,enucleated reticulocyte
416,416,Homo sapiens,cell_type,CL:0002425,1162,1538,early T lineage precursor
417,417,Homo sapiens,cell_type,CL:0002453,176800,430075,oligodendrocyte precursor cell
418,418,Homo sapiens,cell_type,CL:0002457,48,48,epidermal Langerhans cell
419,419,Homo sapiens,cell_type,CL:0002470,1249,1249,MHC-II-positive classical monocyte
420,420,Homo sapiens,cell_type,CL:0002480,71348,108192,nasal mucosa goblet cell
421,421,Homo sapiens,cell_type,CL:0002488,1156,1450,trophoblast giant cell
422,422,Homo sapiens,cell_type,CL:0002489,49928,190788,double negative thymocyte
423,423,Homo sapiens,cell_type,CL:0002495,1310,1391,fetal cardiomyocyte
424,424,Homo sapiens,cell_type,CL:0002496,5663,5663,intraepithelial lymphocyte
425,425,Homo sapiens,cell_type,CL:0002503,815,2445,adventitial cell
426,426,Homo sapiens,cell_type,CL:0002504,23891,41600,enteric smooth muscle cell
427,427,Homo sapiens,cell_type,CL:0002518,11116,30699,kidney epithelial cell
428,428,Homo sapiens,cell_type,CL:0002521,2152,2152,subcutaneous fat cell
429,429,Homo sapiens,cell_type,CL:0002538,42,126,intrahepatic cholangiocyte
430,430,Homo sapiens,cell_type,CL:0002543,96250,220847,vein endothelial cell
431,431,Homo sapiens,cell_type,CL:0002548,170070,337813,fibroblast of cardiac tissue
432,432,Homo sapiens,cell_type,CL:0002553,31350,66570,fibroblast of lung
433,433,Homo sapiens,cell_type,CL:0002555,179261,356063,fibroblast of mammary gland
434,434,Homo sapiens,cell_type,CL:0002563,61662,67692,intestinal epithelial cell
435,435,Homo sapiens,cell_type,CL:0002573,7233,14930,Schwann cell
436,436,Homo sapiens,cell_type,CL:0002585,551,1483,retinal blood vessel endothelial cell
437,437,Homo sapiens,cell_type,CL:0002586,3016,6657,retinal pigment epithelial cell
438,438,Homo sapiens,cell_type,CL:0002598,1120,1282,bronchial smooth muscle cell
439,439,Homo sapiens,cell_type,CL:0002601,23192,23192,uterine smooth muscle cell
440,440,Homo sapiens,cell_type,CL:0002605,60310,124494,astrocyte of the cerebral cortex
441,441,Homo sapiens,cell_type,CL:0002607,87,2969,migratory enteric neural crest cell
442,442,Homo sapiens,cell_type,CL:0002617,9780,9780,adipocyte of breast
443,443,Homo sapiens,cell_type,CL:0002620,4689,6992,skin fibroblast
444,444,Homo sapiens,cell_type,CL:0002622,63,691,prostate stromal cell
445,445,Homo sapiens,cell_type,CL:0002623,10147,30441,acinar cell of salivary gland
446,446,Homo sapiens,cell_type,CL:0002627,13941,25411,mature astrocyte
447,447,Homo sapiens,cell_type,CL:0002629,10096,19467,mature microglial cell
448,448,Homo sapiens,cell_type,CL:0002632,105621,142285,epithelial cell of lower respiratory tract
449,449,Homo sapiens,cell_type,CL:0002633,113210,201579,respiratory basal cell
450,450,Homo sapiens,cell_type,CL:0002657,1108,2216,glandular cell of esophagus
451,451,Homo sapiens,cell_type,CL:0002673,60,180,tongue muscle cell
452,452,Homo sapiens,cell_type,CL:0002677,2056,3578,naive regulatory T cell
453,453,Homo sapiens,cell_type,CL:0002678,1212,1212,memory regulatory T cell
454,454,Homo sapiens,cell_type,CL:0005006,1769,5020,ionocyte
455,455,Homo sapiens,cell_type,CL:0005009,3094,4698,renal principal cell
456,456,Homo sapiens,cell_type,CL:0005010,5017,5875,renal intercalated cell
457,457,Homo sapiens,cell_type,CL:0005011,3107,4741,renal alpha-intercalated cell
458,458,Homo sapiens,cell_type,CL:0005012,18118,80031,multi-ciliated epithelial cell
459,459,Homo sapiens,cell_type,CL:0005019,201,201,pancreatic epsilon cell
460,460,Homo sapiens,cell_type,CL:0005021,360,410,mesenchymal lymphangioblast
461,461,Homo sapiens,cell_type,CL:0005022,51,51,vascular lymphangioblast
462,462,Homo sapiens,cell_type,CL:0005025,610,756,visceromotor neuron
463,463,Homo sapiens,cell_type,CL:0005026,58447,72848,hepatoblast
464,464,Homo sapiens,cell_type,CL:0007010,736,736,preosteoblast
465,465,Homo sapiens,cell_type,CL:0007011,2164,2237,enteric neuron
466,466,Homo sapiens,cell_type,CL:0008001,4448,4543,hematopoietic precursor cell
467,467,Homo sapiens,cell_type,CL:0008002,19491,19491,skeletal muscle fiber
468,468,Homo sapiens,cell_type,CL:0008011,4831,14493,skeletal muscle satellite stem cell
469,469,Homo sapiens,cell_type,CL:0008015,229,2056,inhibitory motor neuron
470,470,Homo sapiens,cell_type,CL:0008019,216508,259990,mesenchymal cell
471,471,Homo sapiens,cell_type,CL:0008034,241533,549309,mural cell
472,472,Homo sapiens,cell_type,CL:0008036,15492,29154,extravillous trophoblast
473,473,Homo sapiens,cell_type,CL:0009002,1884,1884,inflammatory cell
474,474,Homo sapiens,cell_type,CL:0009005,45,135,salivary gland cell
475,475,Homo sapiens,cell_type,CL:0009006,90,90,enteroendocrine cell of small intestine
476,476,Homo sapiens,cell_type,CL:0009009,1630,3406,paneth cell of colon
477,477,Homo sapiens,cell_type,CL:0009010,11592,51374,transit amplifying cell
478,478,Homo sapiens,cell_type,CL:0009011,18161,20108,transit amplifying cell of colon
479,479,Homo sapiens,cell_type,CL:0009012,782,1963,transit amplifying cell of small intestine
480,480,Homo sapiens,cell_type,CL:0009016,114,1995,intestinal crypt stem cell of large intestine
481,481,Homo sapiens,cell_type,CL:0009017,944,1723,intestinal crypt stem cell of small intestine
482,482,Homo sapiens,cell_type,CL:0009022,0,640,stromal cell of lamina propria of small intestine
483,483,Homo sapiens,cell_type,CL:0009038,268,268,colon macrophage
484,484,Homo sapiens,cell_type,CL:0009039,3156,3156,colon goblet cell
485,485,Homo sapiens,cell_type,CL:0009041,524,524,tuft cell of colon
486,486,Homo sapiens,cell_type,CL:0009042,199,199,enteroendocrine cell of colon
487,487,Homo sapiens,cell_type,CL:0009043,385,385,intestinal crypt stem cell of colon
488,488,Homo sapiens,cell_type,CL:0009089,6012,14712,lung pericyte
489,489,Homo sapiens,cell_type,CL:0009092,1331,1331,endothelial cell of placenta
490,490,Homo sapiens,cell_type,CL:0009095,13271,13271,endothelial cell of uterus
491,491,Homo sapiens,cell_type,CL:0009099,16021,16021,fibro/adipogenic progenitor cell
492,492,Homo sapiens,cell_type,CL:0009111,598,1197,centrocyte
493,493,Homo sapiens,cell_type,CL:0009112,1806,3663,centroblast
494,494,Homo sapiens,cell_type,CL:0009113,415,831,T follicular regulatory cell
495,495,Homo sapiens,cell_type,CL:0010003,22603,28528,epithelial cell of alveolus of lung
496,496,Homo sapiens,cell_type,CL:0010008,39669,44999,cardiac endothelial cell
497,497,Homo sapiens,cell_type,CL:0010011,71854,71854,cerebral cortex GABAergic interneuron
498,498,Homo sapiens,cell_type,CL:0010022,8167,17585,cardiac neuron
499,499,Homo sapiens,cell_type,CL:0011004,1033,1101,lens fiber cell
500,500,Homo sapiens,cell_type,CL:0011012,3141,3141,neural crest cell
501,501,Homo sapiens,cell_type,CL:0011019,890,1595,mesothelial cell of epicardium
502,502,Homo sapiens,cell_type,CL:0011020,25180,25195,neural progenitor cell
503,503,Homo sapiens,cell_type,CL:0011024,5147,5147,double negative T regulatory cell
504,504,Homo sapiens,cell_type,CL:0011025,15104,17638,exhausted T cell
505,505,Homo sapiens,cell_type,CL:0011026,280139,483035,progenitor cell
506,506,Homo sapiens,cell_type,CL:0011027,5913,5913,skeletal muscle fibroblast
507,507,Homo sapiens,cell_type,CL:0011101,287,366,chorionic trophoblast cell
508,508,Homo sapiens,cell_type,CL:0011103,3805,4744,sympathetic neuron
509,509,Homo sapiens,cell_type,CL:0011108,13944,16487,colon epithelial cell
510,510,Homo sapiens,cell_type,CL:0011115,567,567,precursor cell
511,511,Homo sapiens,cell_type,CL:0013000,48079,48079,forebrain radial glial cell
512,512,Homo sapiens,cell_type,CL:0017000,2456,2494,pulmonary ionocyte
513,513,Homo sapiens,cell_type,CL:0019001,2369,4216,tracheobronchial serous cell
514,514,Homo sapiens,cell_type,CL:0019003,1172,2158,tracheobronchial goblet cell
515,515,Homo sapiens,cell_type,CL:0019019,15950,27054,tracheobronchial smooth muscle cell
516,516,Homo sapiens,cell_type,CL:0019021,155,1385,endothelial cell of periportal hepatic sinusoid
517,517,Homo sapiens,cell_type,CL:0019022,6376,11359,endothelial cell of pericentral hepatic sinusoid
518,518,Homo sapiens,cell_type,CL:0019026,23509,49591,periportal region hepatocyte
519,519,Homo sapiens,cell_type,CL:0019028,11059,23168,midzonal region hepatocyte
520,520,Homo sapiens,cell_type,CL:0019029,15819,26268,centrilobular region hepatocyte
521,521,Homo sapiens,cell_type,CL:0019031,7512,22676,intestine goblet cell
522,522,Homo sapiens,cell_type,CL:0019032,1227,1761,intestinal tuft cell
523,523,Homo sapiens,cell_type,CL:1000143,2149,2149,lung goblet cell
524,524,Homo sapiens,cell_type,CL:1000223,770,1161,lung neuroendocrine cell
525,525,Homo sapiens,cell_type,CL:1000271,11735,14580,lung ciliated cell
526,526,Homo sapiens,cell_type,CL:1000272,5201,10157,lung secretory cell
527,527,Homo sapiens,cell_type,CL:1000275,0,255,smooth muscle cell of small intestine
528,528,Homo sapiens,cell_type,CL:1000278,54,54,smooth muscle fiber of ileum
529,529,Homo sapiens,cell_type,CL:1000279,0,1197,smooth muscle cell of large intestine
530,530,Homo sapiens,cell_type,CL:1000296,7702,23634,epithelial cell of urethra
531,531,Homo sapiens,cell_type,CL:1000299,0,3027,fibroblast of connective tissue of prostate
532,532,Homo sapiens,cell_type,CL:1000304,3827,7654,fibroblast of connective tissue of nonglandular part of prostate
533,533,Homo sapiens,cell_type,CL:1000305,1553,3106,fibroblast of connective tissue of glandular part of prostate
534,534,Homo sapiens,cell_type,CL:1000309,5690,9956,epicardial adipocyte
535,535,Homo sapiens,cell_type,CL:1000311,523,523,adipocyte of epicardial fat of left ventricle
536,536,Homo sapiens,cell_type,CL:1000312,2087,3927,bronchial goblet cell
537,537,Homo sapiens,cell_type,CL:1000320,385,1766,large intestine goblet cell
538,538,Homo sapiens,cell_type,CL:1000326,230,230,ileal goblet cell
539,539,Homo sapiens,cell_type,CL:1000329,69798,69952,tracheal goblet cell
540,540,Homo sapiens,cell_type,CL:1000330,41,123,serous cell of epithelium of trachea
541,541,Homo sapiens,cell_type,CL:1000331,15,45,serous cell of epithelium of bronchus
542,542,Homo sapiens,cell_type,CL:1000334,5940,7040,enterocyte of epithelium of small intestine
543,543,Homo sapiens,cell_type,CL:1000342,809,809,enterocyte of epithelium proper of ileum
544,544,Homo sapiens,cell_type,CL:1000343,730,2024,paneth cell of epithelium of small intestine
545,545,Homo sapiens,cell_type,CL:1000347,25398,43157,enterocyte of colon
546,546,Homo sapiens,cell_type,CL:1000348,32681,32681,basal cell of epithelium of trachea
547,547,Homo sapiens,cell_type,CL:1000353,19,19,microfold cell of epithelium of small intestine
548,548,Homo sapiens,cell_type,CL:1000398,971,4578,endothelial cell of hepatic sinusoid
549,549,Homo sapiens,cell_type,CL:1000413,45564,93203,endothelial cell of artery
550,550,Homo sapiens,cell_type,CL:1000428,1187,1187,stem cell of epidermis
551,551,Homo sapiens,cell_type,CL:1000432,6290,19058,conjunctival epithelial cell
552,552,Homo sapiens,cell_type,CL:1000436,52,156,epithelial cell of lacrimal sac
553,553,Homo sapiens,cell_type,CL:1000443,2933,21468,ciliary muscle cell
554,554,Homo sapiens,cell_type,CL:1000447,754,754,epithelial cell of stratum germinativum of esophagus
555,555,Homo sapiens,cell_type,CL:1000448,301,301,epithelial cell of sweat gland
556,556,Homo sapiens,cell_type,CL:1000449,1884,23259,epithelial cell of nephron
557,557,Homo sapiens,cell_type,CL:1000450,0,651,epithelial cell of glomerular capsule
558,558,Homo sapiens,cell_type,CL:1000452,3428,6107,parietal epithelial cell
559,559,Homo sapiens,cell_type,CL:1000458,266,266,melanocyte of skin
560,560,Homo sapiens,cell_type,CL:1000487,3884,8702,smooth muscle cell of prostate
561,561,Homo sapiens,cell_type,CL:1000488,2814,3968,cholangiocyte
562,562,Homo sapiens,cell_type,CL:1000491,29,29,mesothelial cell of pleura
563,563,Homo sapiens,cell_type,CL:1000494,0,495,nephron tubule epithelial cell
564,564,Homo sapiens,cell_type,CL:1000495,688,988,small intestine goblet cell
565,565,Homo sapiens,cell_type,CL:1000497,1918,3836,kidney cell
566,566,Homo sapiens,cell_type,CL:1000500,3252,10096,kidney interstitial cell
567,567,Homo sapiens,cell_type,CL:1000597,329,857,papillary tips cell
568,568,Homo sapiens,cell_type,CL:1000692,16242,31803,kidney interstitial fibroblast
569,569,Homo sapiens,cell_type,CL:1000698,87,174,kidney resident macrophage
570,570,Homo sapiens,cell_type,CL:1000703,48,48,kidney pelvis urothelial cell
571,571,Homo sapiens,cell_type,CL:1000768,15408,28586,kidney connecting tubule epithelial cell
572,572,Homo sapiens,cell_type,CL:1000849,22277,38493,kidney distal convoluted tubule epithelial cell
573,573,Homo sapiens,cell_type,CL:1000892,1008,1008,kidney capillary endothelial cell
574,574,Homo sapiens,cell_type,CL:1000909,8749,8870,kidney loop of Henle epithelial cell
575,575,Homo sapiens,cell_type,CL:1001005,235,235,glomerular capillary endothelial cell
576,576,Homo sapiens,cell_type,CL:1001016,508,508,kidney loop of Henle ascending limb epithelial cell
577,577,Homo sapiens,cell_type,CL:1001033,0,851,peritubular capillary endothelial cell
578,578,Homo sapiens,cell_type,CL:1001106,82297,145770,kidney loop of Henle thick ascending limb epithelial cell
579,579,Homo sapiens,cell_type,CL:1001107,11818,15436,kidney loop of Henle thin ascending limb epithelial cell
580,580,Homo sapiens,cell_type,CL:1001111,12378,21687,kidney loop of Henle thin descending limb epithelial cell
581,581,Homo sapiens,cell_type,CL:1001131,797,1397,vasa recta ascending limb cell
582,582,Homo sapiens,cell_type,CL:1001225,125,545,kidney collecting duct cell
583,583,Homo sapiens,cell_type,CL:1001285,528,912,vasa recta descending limb cell
584,584,Homo sapiens,cell_type,CL:1001318,5760,12188,renal interstitial pericyte
585,585,Homo sapiens,cell_type,CL:1001428,4151,12453,bladder urothelial cell
586,586,Homo sapiens,cell_type,CL:1001431,33691,55791,kidney collecting duct principal cell
587,587,Homo sapiens,cell_type,CL:1001432,20508,36999,kidney collecting duct intercalated cell
588,588,Homo sapiens,cell_type,CL:1001433,5568,5568,epithelial cell of exocrine pancreas
589,589,Homo sapiens,cell_type,CL:1001509,6065,6065,glycinergic neuron
590,590,Homo sapiens,cell_type,CL:1001516,113,339,intestinal enteroendocrine cell
591,591,Homo sapiens,cell_type,CL:1001568,6463,28798,pulmonary artery endothelial cell
592,592,Homo sapiens,cell_type,CL:1001589,44,132,duodenum glandular cell
593,593,Homo sapiens,cell_type,CL:1001602,2226,4236,cerebral cortex endothelial cell
594,594,Homo sapiens,cell_type,CL:1001603,10113,18665,lung macrophage
595,595,Homo sapiens,cell_type,CL:2000001,131,131,peripheral blood mononuclear cell
596,596,Homo sapiens,cell_type,CL:2000002,12959,12959,decidual cell
597,597,Homo sapiens,cell_type,CL:2000006,10188,20505,tonsil germinal center B cell
598,598,Homo sapiens,cell_type,CL:2000016,485,1455,lung microvascular endothelial cell
599,599,Homo sapiens,cell_type,CL:2000021,233,233,sebaceous gland cell
600,600,Homo sapiens,cell_type,CL:2000032,3456,3456,peripheral nervous system neuron
601,601,Homo sapiens,cell_type,CL:2000041,603,742,dermis microvascular lymphatic vessel endothelial cell
602,602,Homo sapiens,cell_type,CL:2000042,11513,11513,embryonic fibroblast
603,603,Homo sapiens,cell_type,CL:2000046,3171,3214,ventricular cardiac muscle cell
604,604,Homo sapiens,cell_type,CL:2000055,34,102,liver dendritic cell
605,605,Homo sapiens,cell_type,CL:2000059,11772,14230,prostate gland microvascular endothelial cell
606,606,Homo sapiens,cell_type,CL:2000060,43539,87637,placental villous trophoblast
607,607,Homo sapiens,cell_type,CL:2000064,8081,16207,ovarian surface epithelial cell
608,608,Homo sapiens,cell_type,CL:2000092,3396,3396,hair follicular keratinocyte
609,609,Homo sapiens,cell_type,CL:2000093,12265,21545,bronchus fibroblast of lung
610,610,Homo sapiens,cell_type,CL:2000095,9056,9056,cord blood hematopoietic stem cell
611,611,Homo sapiens,cell_type,CL:3000001,11824,11824,Hofbauer cell
612,612,Homo sapiens,cell_type,CL:4006000,2828,6960,fibroblast of breast
613,613,Homo sapiens,cell_type,CL:4023011,55011,116090,lamp5 GABAergic cortical interneuron
614,614,Homo sapiens,cell_type,CL:4023012,17462,37134,near-projecting glutamatergic cortical neuron
615,615,Homo sapiens,cell_type,CL:4023013,14995,32836,corticothalamic-projecting glutamatergic cortical neuron
616,616,Homo sapiens,cell_type,CL:4023015,19079,40362,sncg GABAergic cortical interneuron
617,617,Homo sapiens,cell_type,CL:4023016,89230,189656,vip GABAergic cortical interneuron
618,618,Homo sapiens,cell_type,CL:4023017,48497,108028,sst GABAergic cortical interneuron
619,619,Homo sapiens,cell_type,CL:4023018,77258,163758,pvalb GABAergic cortical interneuron
620,620,Homo sapiens,cell_type,CL:4023036,9490,19786,chandelier pvalb GABAergic cortical interneuron
621,621,Homo sapiens,cell_type,CL:4023038,13338,29572,L6b glutamatergic cortical neuron
622,622,Homo sapiens,cell_type,CL:4023040,570917,1229658,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron
623,623,Homo sapiens,cell_type,CL:4023041,2229,4722,L5 extratelencephalic projecting glutamatergic cortical neuron
624,624,Homo sapiens,cell_type,CL:4023051,3870,7874,vascular leptomeningeal cell
625,625,Homo sapiens,cell_type,CL:4023054,232,232,mesothelial fibroblast
626,626,Homo sapiens,cell_type,CL:4023070,8016,16926,caudal ganglionic eminence derived GABAergic cortical interneuron
627,627,Homo sapiens,cell_type,CL:4028004,19273,43510,alveolar type 1 fibroblast cell
628,628,Homo sapiens,cell_type,CL:4028006,14642,38250,alveolar type 2 fibroblast cell
629,629,Homo sapiens,cell_type,CL:4030009,777,777,epithelial cell of proximal tubule segment 1
630,630,Homo sapiens,cell_type,CL:4030011,989,989,epithelial cell of proximal tubule segment 3
631,631,Homo sapiens,cell_type,CL:4030018,107,107,kidney connecting tubule principal cell
632,632,Homo sapiens,cell_type,CL:4030023,5420,10170,respiratory hillock cell
633,633,Homo sapiens,disease,MONDO:0000709,32458,32458,Crohn ileitis
634,634,Homo sapiens,disease,MONDO:0001056,116329,116329,gastric cancer
635,635,Homo sapiens,disease,MONDO:0001627,484053,968106,dementia
636,636,Homo sapiens,disease,MONDO:0001708,0,4886,pulmonary sarcoidosis
637,637,Homo sapiens,disease,MONDO:0002120,2623,2623,neuroendocrine carcinoma
638,638,Homo sapiens,disease,MONDO:0002492,85433,150604,acute kidney failure
639,639,Homo sapiens,disease,MONDO:0002513,3043,3043,kidney benign neoplasm
640,640,Homo sapiens,disease,MONDO:0002771,51343,268932,pulmonary fibrosis
641,641,Homo sapiens,disease,MONDO:0003050,21167,21167,lung large cell carcinoma
642,642,Homo sapiens,disease,MONDO:0003573,10765,10765,pleomorphic carcinoma
643,643,Homo sapiens,disease,MONDO:0003825,17432,17432,kidney oncocytoma
644,644,Homo sapiens,disease,MONDO:0004298,27462,82152,stomach disorder
645,645,Homo sapiens,disease,MONDO:0004514,29137,29137,chronic rhinitis
646,646,Homo sapiens,disease,MONDO:0004849,31792,33011,pulmonary emphysema
647,647,Homo sapiens,disease,MONDO:0004966,26639,79882,gastritis
648,648,Homo sapiens,disease,MONDO:0004970,11483,11483,adenocarcinoma
649,649,Homo sapiens,disease,MONDO:0004975,182070,263883,Alzheimer disease
650,650,Homo sapiens,disease,MONDO:0005002,55254,178451,chronic obstructive pulmonary disease
651,651,Homo sapiens,disease,MONDO:0005005,187792,187792,clear cell renal carcinoma
652,652,Homo sapiens,disease,MONDO:0005011,550027,577191,Crohn disease
653,653,Homo sapiens,disease,MONDO:0005021,482581,934441,dilated cardiomyopathy
654,654,Homo sapiens,disease,MONDO:0005061,881960,1422977,lung adenocarcinoma
655,655,Homo sapiens,disease,MONDO:0005068,169854,169854,myocardial infarction
656,656,Homo sapiens,disease,MONDO:0005087,94987,94987,respiratory system disorder
657,657,Homo sapiens,disease,MONDO:0005097,210830,303260,squamous cell lung carcinoma
658,658,Homo sapiens,disease,MONDO:0005115,2103,2103,temporal lobe epilepsy
659,659,Homo sapiens,disease,MONDO:0005129,3205,3205,cataract
660,660,Homo sapiens,disease,MONDO:0005147,22400,22400,type 1 diabetes mellitus
661,661,Homo sapiens,disease,MONDO:0005148,19262,19262,type 2 diabetes mellitus
662,662,Homo sapiens,disease,MONDO:0005233,120796,241592,non-small cell lung carcinoma
663,663,Homo sapiens,disease,MONDO:0005249,31923,31923,pneumonia
664,664,Homo sapiens,disease,MONDO:0005300,114285,218574,chronic kidney disease
665,665,Homo sapiens,disease,MONDO:0005418,11632,22656,non-compaction cardiomyopathy
666,666,Homo sapiens,disease,MONDO:0005565,57445,57445,blastoma
667,667,Homo sapiens,disease,MONDO:0005812,29752,29752,influenza
668,668,Homo sapiens,disease,MONDO:0006058,4636,4636,Wilms tumor
669,669,Homo sapiens,disease,MONDO:0007254,171704,315989,breast cancer
670,670,Homo sapiens,disease,MONDO:0007472,1239,1239,basal laminar drusen
671,671,Homo sapiens,disease,MONDO:0007763,250380,250380,nonpapillary renal cell carcinoma
672,672,Homo sapiens,disease,MONDO:0007915,777258,777258,systemic lupus erythematosus
673,673,Homo sapiens,disease,MONDO:0008433,77144,244903,small cell lung carcinoma
674,674,Homo sapiens,disease,MONDO:0008608,16743,16743,Down syndrome
675,675,Homo sapiens,disease,MONDO:0009061,17590,17590,cystic fibrosis
676,676,Homo sapiens,disease,MONDO:0010811,59853,120984,benign prostatic hyperplasia
677,677,Homo sapiens,disease,MONDO:0011705,12374,12374,lymphangioleiomyomatosis
678,678,Homo sapiens,disease,MONDO:0012419,1701,1701,age related macular degeneration 7
679,679,Homo sapiens,disease,MONDO:0012883,3734,3734,acute promyelocytic leukemia
680,680,Homo sapiens,disease,MONDO:0013662,10952,30715,Barrett esophagus
