doi,in_asctb_5th,in_cellmarker,in_cxg,in_31_organ_PubMed_pubs,linked_organs,pub_year,article_title,authors,manually filled in_all,manually filled in_year,manually corrected_title
10.1016/s0168-8278(97)80145-6,0,1,0,0,,1997.0,The clinical diversity and role of chemotherapy in lymphoproliferative disorder in liver transplant recipients.,,FALSE,FALSE,FALSE
10.1016/s0168-8278(98)80206-7,0,1,0,0,,1998.0,Resident human hepatic lymphocytes are phenotypically different from circulating lymphocytes.,,FALSE,FALSE,FALSE
10.1016/s0168-8278(99)80074-9,0,1,0,0,,1999.0,Myofibroblasts are responsible for collagen synthesis in the stroma of human hepatocellular carcinoma: an in vivo and in vitro study.,,FALSE,FALSE,FALSE
10.1016/s0171-2985(84)80117-5,1,0,0,0,,1984.0,Langerhans cells: antigen presenting cells of the epidermis.,,FALSE,FALSE,FALSE
10.1016/s0272-6386(01)80119-0,0,1,0,0,,2001.0,Macrophage subclasses and proliferation in childhood IgA glomerulonephritis.,,FALSE,FALSE,FALSE
10.1016/s0301-472x(00)00490-2,0,1,0,0,,2000.0,"Differential effects of interleukin-3, interleukin-7, interleukin 15, and granulocyte-macrophage colony-stimulating factor in the generation of natural killer and B cells from primitive human fetal liver progenitors.",,FALSE,FALSE,FALSE
10.1016/s0301-472x(01)00658-0,0,1,0,0,,2001.0,"Oxygen tension modulates the expression of cytokine receptors, transcription factors, and lineage-specific markers in cultured human megakaryocytes.",,FALSE,FALSE,FALSE
10.1016/s0304-3835(01)00464-5,0,1,0,0,,2001.0,Fatty acid synthase (FAS) expression in human breast cancer cell culture supernatants and in breast cancer patients.,,FALSE,FALSE,FALSE
10.1016/s1074-7613(00)80160-0,1,0,0,0,,2000.0,"Langerin, a novel C-type lectin specific to Langerhans cells, is an endocytic receptor that induces the formation of Birbeck granules.",,FALSE,FALSE,FALSE
10.1016/s1079210403005742,0,1,0,0,,2004.0,"Assessment of p63 expression in the salivary gland neoplasms adenoid cystic carcinoma, polymorphous low-grade adenocarcinoma, and basal cell and canalicular adenomas.",,FALSE,FALSE,FALSE
10.1016/s1081-1206(10)62853-0,1,0,0,0,,1999.0,Human skin mast cells: in vitro and in vivo studies.,,FALSE,FALSE,FALSE
10.1016/s1471-4906(01)02060-9,1,0,0,0,,2001.0,The biology of human natural killer-cell subsets.,,FALSE,FALSE,FALSE
10.1016/s1472-6483(10)61745-2,1,0,0,0,,2003.0,Decidualization of the human endometrial stromal cell: an enigmatic transformation.,,FALSE,FALSE,FALSE
10.1016/s1521-6616(03)00092-5,0,1,0,0,,2003.0,Functional analysis of human memory B-cell subpopulations: IgD+CD27+ B cells are crucial in secondary immune response by producing high affinity IgM.,,FALSE,FALSE,FALSE
10.1017/cbo9780511545979,1,0,0,0,,2000.0, Illustrated Pathology of the Spleen,"Bridget Wilkins, Dennis H. Wright",TRUE,FALSE,FALSE
10.1017/s0952523800011391,1,0,0,0,,1997.0,Localization of the CD15 carbohydrate epitope in the vertebrate retina.,,FALSE,TRUE,FALSE
10.1017/s0952523809090075,1,0,0,0,,2009.0,Parvalbumin-immunoreactive amacrine cells of macaque retina.,,FALSE,TRUE,FALSE
10.1017/s0952523819000087,1,0,0,0,,2019.0,Melanopsin and calbindin immunoreactivity in the inner retina of humans and marmosets.,,FALSE,FALSE,FALSE
10.1021/ac501243a,0,1,0,0,,2014.0,"Differential detection of tumor cells using a combination of cell rolling, multivalent binding, and multiple antibodies.",,FALSE,FALSE,FALSE
10.1021/ac504613b,0,1,0,0,,2015.0,Node-pore sensing enables label-free surface-marker profiling of single cells.,,FALSE,FALSE,FALSE
10.1021/ac900535h,0,1,0,0,,2009.0,High-density microcavity array for cell detection: single-cell analysis of hematopoietic stem cells in peripheral blood mononuclear cells.,,FALSE,FALSE,FALSE
10.1021/bi00492a018,1,0,0,0,,1990.0,"Organization, structure, and polymorphisms of the human profilaggrin gene.",,FALSE,FALSE,FALSE
10.1021/mp5000554,0,1,0,0,,2014.0,Suitability of porcine chondrocyte micromass culture to model osteoarthritis in vitro.,,FALSE,FALSE,FALSE
10.1021/nn1030862,0,1,0,0,,2011.0,DNA-gold nanoparticle reversible networks grown on cell surface marker sites: application in diagnostics.,,FALSE,FALSE,FALSE
10.1023/a:1006234115968,0,1,0,0,,1999.0,A new xenograft model of primary central nervous system lymphoma.,,FALSE,FALSE,FALSE
10.1023/a:1009825008023,0,1,0,0,,1999.0,"A comparative study of the isolation of type II epithelial cells from rat, hamster, pig and human lung tissue.",,FALSE,FALSE,FALSE
10.1023/a:1020241028723,0,1,0,0,,1999.0,Induction of iNOS in a rat model of acute colitis.,,FALSE,FALSE,FALSE
10.1023/a:1023335732264,0,1,0,0,,2003.0,Influence of VEGF-R2 inhibition on MMP secretion and motility of microvascular human cerebral endothelial cells (HCEC).,,FALSE,FALSE,FALSE
10.1034/j.1600-065x.2003.00072.x,1,0,0,0,,2003.0,"Structure, lymphatic vascularization and lymphocyte migration in mucosa-associated lymphoid tissue.",,FALSE,FALSE,FALSE
10.1034/j.1600-0676.2002.01503.x,0,1,0,0,,2002.0,Intrahepatic expression of the hepatic stellate cell marker fibroblast activation protein correlates with the degree of fibrosis in hepatitis C virus infection.,,FALSE,FALSE,FALSE
10.1034/j.1600-0854.2002.30909.x,1,0,0,0,,2002.0,The melanocytic protein Melan-A/MART-1 has a subcellular localization distinct from typical melanosomal proteins.,,FALSE,FALSE,FALSE
10.1038/3305,0,1,0,0,,1998.0,Neurogenesis in the adult human hippocampus.,,FALSE,FALSE,FALSE
10.1038/74199,0,1,0,0,,2000.0,"Quantitative expression of Oct-3/4 defines differentiation, dedifferentiation or self-renewal of ES cells.",,FALSE,FALSE,FALSE
10.1038/aps.2017.124,0,1,0,0,,2017.0,Gefitinib inhibits M2-like polarization of tumor-associated macrophages in Lewis lung cancer by targeting the STAT6 signaling pathway.,,FALSE,FALSE,FALSE
10.1038/bjc.2013.439,0,1,0,0,,2013.0,Proline-rich tyrosine kinase 2 and its phosphorylated form pY881 are novel prognostic markers for non-small-cell lung cancer progression and patients&apos;&apos; overall survival.,,FALSE,FALSE,FALSE
10.1038/bjc.2014.253,0,1,0,0,,2014.0,Prognostic significance of CD44 variant 2 upregulation in colorectal cancer.,,FALSE,FALSE,FALSE
10.1038/bjc.2016.101,0,1,0,0,,2016.0,Expression of breast cancer stem cell markers as predictors of prognosis and response to trastuzumab in HER2-positive breast cancer.,,FALSE,FALSE,FALSE
10.1038/cddis.2013.277,0,1,0,0,,2013.0,The significance of galectin-3 as a new basal cell marker in prostate cancer.,,FALSE,FALSE,FALSE
10.1038/celldisc.2017.9,0,1,0,0,,2017.0,Signals of vagal circuits engaging with AKT1 in α7 nAChR+CD11b+ cells lessen E. coli and LPS-induced acute inflammatory injury,,FALSE,FALSE,TRUE
10.1038/cgt.2011.9,0,1,0,0,,2011.0,Cathepsin B and uPAR knockdown inhibits tumor-induced angiogenesis by modulating VEGF expression in glioma.,,FALSE,FALSE,FALSE
10.1038/cgt.2014.10,0,1,0,0,,2014.0,37-kDa laminin receptor precursor promotes lung adenocarcinoma cell invasion and metastasis by epithelial-to-mesenchymal transition.,,FALSE,FALSE,FALSE
10.1038/cti.2015.21,1,0,0,0,,2015.0,Expression analysis of surface molecules on human thymic dendritic cells with the 10th HLDA Workshop antibody panel.,,FALSE,FALSE,FALSE
10.1038/eye.2009.318,0,1,0,0,,2010.0,Development of the human choriocapillaris.,,FALSE,FALSE,FALSE
10.1038/eye.2011.230,0,1,0,0,,2011.0,"Adult human buccal epithelial stem cells: identification, ex-vivo expansion, and transplantation for corneal surface reconstruction.",,FALSE,FALSE,FALSE
10.1038/hr.2009.16,0,1,0,0,,2009.0,Circulating endothelial progenitor cells in Chinese patients with acute stroke.,,FALSE,FALSE,FALSE
10.1038/hr.2013.99,0,1,0,0,,2014.0,Renal inflammatory markers during the onset of hypertension in spontaneously hypertensive rats.,,FALSE,FALSE,FALSE
10.1038/icb.2017.43,0,1,0,0,,2017.0,Human IgG2- and IgG4-expressing memory B cells display enhanced molecular and phenotypic signs of maturity and accumulate with age.,"M. C. van Zelm, Menno C. van Zelm",FALSE,FALSE,FALSE
10.1038/ijo.2010.112,0,1,0,0,,2011.0,Dietary intervention-induced weight loss decreases macrophage content in adipose tissue of obese women.,,FALSE,FALSE,FALSE
10.1038/ijos.2015.42,0,1,0,0,,2015.0,Characterization of the osteogenic potential of mesenchymal stem cells from human periodontal ligament based on cell surface markers.,,FALSE,FALSE,FALSE
10.1038/jid.1952.87,1,0,0,0,,1952.0,Electron microscopic study of epidermal prickle cells.,,FALSE,FALSE,FALSE
10.1038/jid.2010.165,1,0,0,0,,2010.0,A subpopulation of CD163-positive macrophages is classically activated in psoriasis.,,FALSE,FALSE,FALSE
10.1038/jid.2013.481,1,0,0,0,,2014.0,"A three-dimensional atlas of human dermal leukocytes, lymphatics, and blood vessels.",,FALSE,FALSE,FALSE
10.1038/ki.1997.348,0,1,0,0,,1997.0,"Immunodissection of the human proximal nephron: flow sorting of S1S2S3, S1S2 and S3 proximal tubular cells.",,FALSE,FALSE,FALSE
10.1038/labinvest.2008.122,0,1,0,0,,2009.0,Epithelial cells within the human pancreas do not coexpress mesenchymal antigens: epithelial-mesenchymal transition is an artifact of cell culture.,,FALSE,FALSE,FALSE
10.1038/labinvest.2009.48,1,0,0,0,,2009.0,Differential expression of stem-cell-associated markers in human hair follicle epithelial cells.,,FALSE,FALSE,FALSE
10.1038/labinvest.2016.116,1,0,0,0,,2017.0,CD68/macrosialin: not just a histochemical marker.,,FALSE,FALSE,FALSE
10.1038/labinvest.3700193,0,1,0,0,,2004.0,Liver biopsies from human females contain male hepatocytes in the absence of transplantation.,,FALSE,FALSE,FALSE
10.1038/labinvest.3780244,0,1,0,0,,2001.0,Expressional regulation of angiopoietin-1 and -2 and the tie-1 and -2 receptor tyrosine kinases during cutaneous wound healing: a comparative study of normal and impaired repair.,,FALSE,FALSE,FALSE
10.1038/modpathol.2010.190,0,1,0,0,,2011.0,WT1 expression in salivary gland pleomorphic adenomas: a reliable marker of the neoplastic myoepithelium.,,FALSE,FALSE,FALSE
10.1038/modpathol.2012.119,0,1,0,0,,2012.0,The contribution of HGAL/GCET2 in immunohistological algorithms: a comparative study in 424 cases of nodal diffuse large B-cell lymphoma.,,FALSE,FALSE,FALSE
10.1038/modpathol.3800589,0,1,0,0,,2006.0,"Renal lymphatics, and lymphatic involvement in sinus vein invasive (pT3b) clear cell renal cell carcinoma: a study of 40 cases.",,FALSE,FALSE,FALSE
10.1038/modpathol.3880254,0,1,0,0,,2001.0,Human small cell lung carcinoma and carcinoid tumor regulate dendritic cell maturation and function.,,FALSE,FALSE,FALSE
10.1038/nature03886,1,0,0,0,,2005.0,Hassall's corpuscles instruct dendritic cells to induce CD4+CD25+ regulatory T cells in human thymus,,FALSE,FALSE,TRUE
10.1038/nature06196,1,0,0,0,,2007.0,Identification of stem cells in small intestine and colon by marker gene Lgr5.,,FALSE,FALSE,FALSE
10.1038/nature07427,0,1,0,0,,2008.0,Generation of a prostate from a single adult stem cell.,,FALSE,FALSE,FALSE
10.1038/nature11826,1,0,0,0,,2013.0,In vitro expansion of single Lgr5+ liver stem cells induced by Wnt-driven regeneration.,,FALSE,FALSE,FALSE
10.1038/nature12364,0,1,0,0,,2013.0,Genetic programs in human and mouse early embryos revealed by single-cell RNA sequencing.,,FALSE,FALSE,FALSE
10.1038/nature14863,1,0,0,0,,2015.0,Self-renewing diploid Axin2(+) cells fuel homeostatic renewal of the liver.,,FALSE,FALSE,FALSE
10.1038/nature20123,0,1,0,0,,2016.0,Single-cell RNA-seq supports a developmental hierarchy in human oligodendroglioma.,,FALSE,FALSE,FALSE
10.1038/nature22796,0,1,0,0,,2017.0,Multilineage communication regulates human liver bud development from pluripotency.,,FALSE,FALSE,FALSE
10.1038/nature25786,0,1,0,0,,2018.0,Regeneration of the lung alveolus by an evolutionarily conserved epithelial progenitor.,,FALSE,FALSE,FALSE
10.1038/nature25980,0,1,0,0,,2018.0,A single-cell RNA-seq survey of the developmental landscape of the human prefrontal cortex.,,FALSE,FALSE,FALSE
10.1038/nbt1163,0,1,0,0,,2005.0,Efficient differentiation of human embryonic stem cells to definitive endoderm.,,FALSE,FALSE,FALSE
10.1038/nbt1334,0,1,0,0,,2007.0,Prospective identification of myogenic endothelial cells in human skeletal muscle.,,FALSE,FALSE,FALSE
10.1038/nbt.1931,0,1,0,0,,2011.0,Cell-surface markers for the isolation of pancreatic cell types derived from human embryonic stem cells.,,FALSE,FALSE,FALSE
10.1038/nbt.2005,0,1,0,0,,2011.0,SIRPA is a specific cell-surface marker for isolating cardiomyocytes derived from human pluripotent stem cells.,,FALSE,FALSE,FALSE
10.1038/nbt.2282,0,1,0,0,,2012.0,Full-length mRNA-Seq from single-cell levels of RNA and individual circulating tumor cells.,,FALSE,FALSE,FALSE
10.1038/ncb3337,1,0,0,0,,2016.0,The RSPO-LGR4/5-ZNRF3/RNF43 module controls liver zonation and size.,"Diego Calabrese, Luke Boulter, Markus H. Heim",FALSE,FALSE,FALSE
10.1038/ncb3567,0,1,0,0,,2017.0,Lgr5 joins the club of gastric stem cell markers in the corpus.,,FALSE,FALSE,FALSE
10.1038/ncomms11394,1,0,0,0,,2016.0,Epidermal Notch1 recruits RORγ(+) group 3 innate lymphoid cells to orchestrate normal skin repair,"Carrie A. Ambler, German Leonov",FALSE,FALSE,TRUE
10.1038/ncomms9786,0,1,0,0,,2015.0,Propagation of oestrogen receptor-positive and oestrogen-responsive normal human breast cells in culture.,,FALSE,FALSE,FALSE
10.1038/ng.2007.6,1,0,0,0,,2007.0,Mutations in smooth muscle alpha-actin (ACTA2) lead to thoracic aortic aneurysms and dissections.,,FALSE,FALSE,FALSE
10.1038/ng.722,1,0,0,0,,2011.0,"Continuous cell supply from a Sox9-expressing progenitor zone in adult liver, exocrine pancreas and intestine.",,FALSE,FALSE,FALSE
10.1038/ni.1889,1,0,0,0,,2010.0,Revised map of the human progenitor hierarchy shows the origin of macrophages and dendritic cells in early lymphoid development.,,FALSE,FALSE,FALSE
10.1038/ni.2194,1,0,0,0,,2011.0,B cell-helper neutrophils stimulate the diversification and production of immunoglobulin in the marginal zone of the spleen.,,FALSE,FALSE,FALSE
10.1038/ni.2584,1,0,0,0,,2013.0,Cutaneous immunosurveillance and regulation of inflammation by group 2 innate lymphoid cells.,,FALSE,FALSE,FALSE
10.1038/ni.2830,1,0,0,0,,2014.0,Innate lymphoid cells integrate stromal and immunological signals to enhance antibody production by splenic marginal zone B cells.,,FALSE,FALSE,FALSE
10.1038/ni.3565,1,0,0,0,,2016.0,A three-stage intrathymic development pathway for the mucosal-associated invariant T cell lineage.,"Anselm Enders, Chris C. Goodnow, Christopher C. Goodnow, Dale I. Godfrey, Ligong Liu, Sidonia B. G. Eckle",FALSE,FALSE,FALSE
10.1038/ni904,1,0,0,0,,2003.0,Foxp3 programs the development and function of CD4+CD25+ regulatory T cells.,,FALSE,FALSE,FALSE
10.1038/nm.2000,0,1,0,0,,2009.0,Aberrant luminal progenitors as the candidate target population for basal tumor development in BRCA1 mutation carriers.,,FALSE,FALSE,FALSE
10.1038/nm.3179,0,1,0,0,,2013.0,Coexpression of CD49b and LAG-3 identifies human and mouse T regulatory type 1 cells.,,FALSE,FALSE,FALSE
10.1038/nm.3282,1,0,0,0,,2013.0,Targeting of αv integrin identifies a core molecular pathway that regulates fibrosis in several organs,,FALSE,FALSE,TRUE
10.1038/nm.3881,0,1,0,0,,2015.0,Clonal analyses and gene profiling identify genetic biomarkers of the thermogenic potential of human brown and white preadipocytes.,"Lauren S. Weiner, Tim J. Schulz",FALSE,FALSE,FALSE
10.1038/nmeth.3404,0,1,0,0,,2015.0,"A microfluidic device for label-free, physical capture of circulating tumor cell clusters.",Ben S. Wittner,FALSE,FALSE,FALSE
10.1038/nmeth.4207,0,1,0,0,,2017.0,Visualization and analysis of single-cell RNA-seq data by kernel-based similarity learning.,Daniele Ramazzotti,FALSE,FALSE,FALSE
10.1038/nprot.2015.092,0,1,0,0,,2015.0,Defining human dendritic cell progenitors by multiparametric flow cytometry.,,FALSE,FALSE,FALSE
10.1038/nri.2016.34,1,0,0,0,,2016.0,Emerging insights into natural killer cells in human peripheral tissues.,,FALSE,FALSE,FALSE
10.1038/nri2588,1,0,0,0,,2009.0,Stromal cell contributions to the homeostasis and functionality of the immune system.,,FALSE,FALSE,FALSE
10.1038/nri2622,1,0,0,0,,2009.0,Skin immune sentinels in health and disease.,,FALSE,FALSE,FALSE
10.1038/nri3298,1,0,0,0,,2012.0,"HEVs, lymphatics and homeostatic immune cell trafficking in lymph nodes.",,FALSE,FALSE,FALSE
10.1038/nrm3175,1,0,0,0,,2011.0,Deconstructing the skin: cytoarchitectural determinants of epidermal morphogenesis.,,FALSE,FALSE,FALSE
10.1038/nrrheum.2013.109,0,1,0,0,,2013.0,Mesenchymal stem cells in joint disease and repair.,,FALSE,FALSE,FALSE
10.1038/onc.2011.439,0,1,0,0,,2012.0,CD49f and CD61 identify Her2/neu-induced mammary tumor-initiating cells that are potentially derived from luminal progenitors and maintained by the integrin-TGF&Icirc;&sup2; signaling.,,FALSE,FALSE,FALSE
10.1038/onc.2012.611,0,1,0,0,,2014.0,Stem cell CD44v isoforms promote intestinal cancer formation in Apc(min) mice downstream of Wnt signaling.,,FALSE,FALSE,FALSE
10.1038/onc.2015.274,0,1,0,0,,2016.0,CXCR7 mediates TGFβ1-promoted EMT and tumor-initiating features in lung cancer,,FALSE,FALSE,TRUE
10.1038/onc.2016.325,0,1,0,0,,2017.0,"Ecotropic viral integration site 1, a novel oncogene in prostate cancer.",,FALSE,FALSE,FALSE
10.1038/onc.2016.518,0,1,0,0,,2017.0,Mutant p53 oncogenic functions in cancer stem cells are regulated by WIP through YAP/TAZ.,,FALSE,FALSE,FALSE
10.1038/onc.2017.260,0,1,0,0,,2017.0,The PDGFRα-laminin B1-keratin 19 cascade drives tumor progression at the invasive front of human hepatocellular carcinoma,,FALSE,FALSE,TRUE
10.1038/onc.2017.72,0,1,0,0,,2017.0,Dedifferentiation into blastomere-like cancer stem cells via formation of polyploid giant cancer cells.,,FALSE,FALSE,FALSE
10.1038/s41419-018-0432-1,0,1,0,0,,2018.0,circHECTD1 promotes the silica-induced pulmonary endothelial-mesenchymal transition via HECTD1.,Jie Chao,FALSE,FALSE,FALSE
10.1038/s41421-020-0157-z,1,0,0,0,,2020.0,Single-cell RNA sequencing reveals the heterogeneity of liver-resident immune cells in human.,,FALSE,FALSE,FALSE
10.1038/s41422-019-0195-y,1,0,0,0,,2019.0,Single-cell RNA-seq highlights intra-tumoral heterogeneity and malignant progression in pancreatic ductal adenocarcinoma.,Yun-Gui Yang,FALSE,FALSE,FALSE
10.1038/s41423-018-0008-0,1,0,0,0,,2018.0,Three macrophage subsets are identified in the uterus during early human pregnancy.,,FALSE,FALSE,FALSE
10.1038/s41423-020-0511-y,1,0,0,0,,2020.0,A recently described type 2 conventional dendritic cell (cDC2) subset mediates inflammation.,Ching-Liang Chu,FALSE,FALSE,FALSE
10.1038/s41467-017-02289-3,0,1,0,0,,2017.0,Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,"Andreas Raue, Edda Klipp",FALSE,FALSE,FALSE
10.1038/s41467-018-04334-1,0,1,0,0,,2018.0,Profiling human breast epithelial cells using single cell RNA sequencing identifies cell diversity.,"Andrei Goga, Zena Werb",FALSE,FALSE,FALSE
10.1038/s41467-018-06318-7,0,0,1,0,,2018.0,Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations.,"Brendan T. Innes, D. Grant, David Grant, Gary D. Bader, Michael D. Wilson, Michael L. Cheng, Mina Ogawa, Montserrat Garcia-Closas, Neil Winegarden, Brendan T. Innes, D. Grant, David Grant, Gary D. Bader, Michael D. Wilson, Michael L. Cheng, Mina Ogawa, Montserrat Garcia-Closas, Neil Winegarden, Brendan T. Innes, D. Grant, David Grant, Gary D. Bader, Michael D. Wilson, Michael L. Cheng, Mina Ogawa, Montserrat Garcia-Closas, Neil Winegarden, Brendan T. Innes, D. Grant, David Grant, Gary D. Bader, Michael D. Wilson, Michael L. Cheng, Mina Ogawa, Montserrat Garcia-Closas, Neil Winegarden, Brendan T. Innes, D. Grant, David Grant, Gary D. Bader, Michael D. Wilson, Michael L. Cheng, Mina Ogawa, Montserrat Garcia-Closas, Neil Winegarden",FALSE,FALSE,FALSE
10.1038/s41467-019-09728-3,1,0,0,0,,2019.0,Origin and differentiation trajectories of fibroblastic reticular cells in the splenic white pulp.,"Burkhard Ludewig, Mark D. Robinson",FALSE,FALSE,FALSE
10.1038/s41467-019-10861-2,1,0,0,0,,2019.0,A single-nucleus RNA-sequencing pipeline to decipher the molecular anatomy and pathophysiology of human kidneys.,"Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang, Kun Zhang",FALSE,FALSE,FALSE
10.1038/s41467-019-12464-3,1,0,1,0,,2019.0,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease.,"Donna L. Farber, Peter A. Sims, Donna L. Farber, Peter A. Sims, Donna L. Farber, Peter A. Sims, Donna L. Farber, Peter A. Sims, Donna L. Farber, Peter A. Sims, Donna L. Farber, Peter A. Sims, Donna L. Farber, Peter A. Sims, Donna L. Farber, Peter A. Sims, Donna L. Farber, Peter A. Sims, Donna L. Farber, Peter A. Sims, Donna L. Farber, Peter A. Sims, Donna L. Farber, Peter A. Sims",FALSE,FALSE,FALSE
10.1038/s41467-019-12780-8,0,0,1,0,,2019.0,Single-cell transcriptomic atlas of the human retina identifies cell types associated with age-related macular degeneration.,"J. C. Love, J. Christopher Love, J. C. Love, J. Christopher Love, J. C. Love, J. Christopher Love, J. C. Love, J. Christopher Love, J. C. Love, J. Christopher Love, J. C. Love, J. Christopher Love",FALSE,FALSE,FALSE
10.1038/s41467-019-12872-5,1,0,0,0,,2019.0,Molecular determinants of nephron vascular specialization in the kidney.,Tuo Zhang,FALSE,FALSE,FALSE
10.1038/s41467-020-18957-w,0,0,1,0,,2020.0,Stress-induced RNA-chromatin interactions promote endothelial dysfunction.,"Sheng Zhong, Sheng Zhong",FALSE,FALSE,FALSE
10.1038/s41467-020-19383-8,1,0,0,0,,2020.0,Spatially and cell-type resolved quantitative proteomic atlas of healthy human skin.,Matthias Mann,FALSE,FALSE,FALSE
10.1038/s41467-021-21346-6,1,0,0,0,,2021.0,Single-cell transcriptional profiling of human thymic stroma uncovers novel cellular heterogeneity in the thymic medulla.,Trevor D. Burt,FALSE,FALSE,FALSE
10.1038/s41467-021-22368-w,0,0,1,0,,2021.0,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney.,"Benjamin D. Humphreys, H. Dimke, Henrik Dimke, Parker C. Wilson, Benjamin D. Humphreys, H. Dimke, Henrik Dimke, Parker C. Wilson, Benjamin D. Humphreys, H. Dimke, Henrik Dimke, Parker C. Wilson, Benjamin D. Humphreys, H. Dimke, Henrik Dimke, Parker C. Wilson, Benjamin D. Humphreys, H. Dimke, Henrik Dimke, Parker C. Wilson",FALSE,FALSE,FALSE
10.1038/s41467-022-29450-x,0,0,1,0,,2022.0,Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses.,"Eduardo Andres-Leon, Felix Krueger, Gavin Kelsey, Holger Heyn, Oliver Stegle, Stephen J. Clark, Eduardo Andres-Leon, Felix Krueger, Gavin Kelsey, Holger Heyn, Oliver Stegle, Stephen J. Clark, Eduardo Andres-Leon, Felix Krueger, Gavin Kelsey, Holger Heyn, Oliver Stegle, Stephen J. Clark, Eduardo Andres-Leon, Felix Krueger, Gavin Kelsey, Holger Heyn, Oliver Stegle, Stephen J. Clark, Eduardo Andres-Leon, Felix Krueger, Gavin Kelsey, Holger Heyn, Oliver Stegle, Stephen J. Clark, Eduardo Andres-Leon, Felix Krueger, Gavin Kelsey, Holger Heyn, Oliver Stegle, Stephen J. Clark, Eduardo Andres-Leon, Felix Krueger, Gavin Kelsey, Holger Heyn, Oliver Stegle, Stephen J. Clark, Eduardo Andres-Leon, Felix Krueger, Gavin Kelsey, Holger Heyn, Oliver Stegle, Stephen J. Clark, Eduardo Andres-Leon, Felix Krueger, Gavin Kelsey, Holger Heyn, Oliver Stegle, Stephen J. Clark, Eduardo Andres-Leon, Felix Krueger, Gavin Kelsey, Holger Heyn, Oliver Stegle, Stephen J. Clark",FALSE,FALSE,FALSE
10.1038/s41467-022-29588-8,1,0,0,0,,2022.0,Generation of human islet cell type-specific identity genesets.,"Alberto Pugliese, Ivan Rodriguez, Pedro L. Herrera",FALSE,FALSE,FALSE
10.1038/s41467-022-32972-z,0,0,1,0,,2022.0,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression.,,FALSE,FALSE,FALSE
10.1038/s41556-018-0105-4,0,1,0,0,,2018.0,Tracing the temporal-spatial transcriptome landscapes of the human fetal digestive tract using single-cell RNA-sequencing.,"Fuchou Tang, Hao Ge, Jie Qiao, Liying Yan",FALSE,FALSE,FALSE
10.1038/s41573-020-00092-2,1,0,0,0,,2021.0,B cell depletion therapies in autoimmune disease: advances and mechanistic insights.,,FALSE,FALSE,FALSE
10.1038/s41577-020-0281-x,1,0,0,0,,2020.0,Lymphatic endothelial cells of the lymph node.,,FALSE,FALSE,FALSE
10.1038/s41586-018-0345-2,1,0,0,0,,2018.0,Thymic tuft cells promote an IL-4-enriched medulla and shape thymocyte development.,,FALSE,FALSE,FALSE
10.1038/s41586-018-0394-6,1,1,0,0,,2018.0,A single-cell atlas of the airway epithelium reveals the CFTR-rich pulmonary ionocyte.,,FALSE,FALSE,FALSE
10.1038/s41586-019-1652-y,1,0,0,0,,2019.0,Decoding human fetal liver haematopoiesis.,,FALSE,FALSE,FALSE
10.1038/s41586-020-2157-4,0,0,1,0,,2020.0,Construction of a human cell landscape at single-cell level.,"Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu, Hailan Hu",FALSE,FALSE,FALSE
10.1038/s41586-020-2785-8,1,0,0,0,,2020.0,The genomic landscapes of individual melanocytes from human skin.,Robert L. Judson,FALSE,FALSE,FALSE
10.1038/s41586-020-2797-4,1,0,0,0,,2020.0,Cells of the adult human heart.,"Christine E. Seidman, Sarah Teichmann, Sarah A. Teichmann",FALSE,FALSE,FALSE
